claim_id,manuscript_locator,claim_text,claim_type,unit,placement,scenario,producer_artifact,producer_field_or_model,artifact_sha256,sample_flow_id,result_difference_id,evidence_status,inferential_scope,notes
CLAIM-001,"index.qmd:213","The abstract describes the full 1480 participant-day study as wearable ocular light exposure and says participants wore the loggers","construct_scope","participant-days","near-eye and chest source streams","current manuscript","audit/decisions/metric_validity.md","IMP-012 and COVERAGE-001 hybrid-day construct","","","","pending_manuscript_repair","Ocular interpretation is limited to waking and pre-sleep near-eye measurements; diary sleep is bedside environmental light","Revise in the later manuscript pass without changing the intended hybrid analytical construct"
CLAIM-002,"index.qmd:233","The Results call all 811 glasses-stream participant-days near-corneal or ocular measurements","construct_scope","participant-days","glasses source stream","primary Rule A","audit/decisions/daily_coverage_denominator.md","Rule A hybrid-day eligibility and IMP-012 construct","","","","pending_manuscript_repair","The participant-day stream combines waking and pre-sleep near-eye measurements with bedside sleep-environment measurements","Replace whole-day ocular terminology after verified sample-flow counts are available"
CLAIM-003,"index.qmd:381","The placement comparison calls all glasses-stream findings ocular-level while also discussing overall 24-hour light levels","construct_scope","multiple outcomes","near-eye primary and chest complementary","primary and complementary placement results","audit/decisions/placement_decision.md","PLACEMENT-006 sleep-period interpretation and IMP-012 hybrid construct","","","","pending_manuscript_repair","Overall 24-hour outputs are hybrid within each source stream; sleep values are not observed at the nominal wearing positions","Repair construct labels during the placement and manuscript claim pass"
CLAIM-004,"index.qmd:389","The Discussion describes the realised full-day quantity as ocular dose","construct_scope","daily melanopic EDI dose","near-eye source stream","primary Rule A","audit/decisions/metric_validity.md","Daily melanopic EDI dose under the intentional hybrid-day construct","","","","pending_manuscript_repair","Daily dose combines waking and pre-sleep near-eye exposure with bedside sleep-environment light and is not continuous ocular dose","Revise after the repaired dose producer and result comparison are stable"
"H02-CLAIM-001","notebooks/hypotheses/H02.qmd","Fitted participant-curve variation exceeded fitted site-curve variation in the primary near-eye analysis: ratio 1.797 (95% CI 1.157 to 4.332)","model_implied_fitted_variation","ratio","near eye","main all available","artifacts/09_tables/H02/variation_summary.csv","main__glasses__all_available; participant_to_site_ratio","a07296c2e64e15a0217b9efc21b83acd578574f5b456a79eb2401382b0b4d3b0","FLOW-H02-MAIN-GLASSES-ALL","","verified","Model-implied fitted curves on an equal-site 48-bin clock grid; not observed variance explained unique variance explained or causal decomposition","Participant-only ordering is less stable because chest and placement-matched intervals include one"
"H02-CLAIM-002","notebooks/hypotheses/H02.qmd","Fitted participant-curve plus participant-day-intercept variation exceeded fitted site-curve variation: ratio 1.991 (95% CI 1.291 to 4.767) near eye and 1.809 (1.219 to 3.736) at chest","model_implied_fitted_variation","ratio","near eye primary; chest complementary","main all available","artifacts/09_tables/H02/variation_summary.csv","participant_plus_day_to_site_ratio for main glasses and chest","a07296c2e64e15a0217b9efc21b83acd578574f5b456a79eb2401382b0b4d3b0","FLOW-H02-MAIN-GLASSES-ALL; FLOW-H02-MAIN-CHEST-ALL","","verified","Model-implied fitted curves and participant-day intercept contributions; stable combined ordering across registered H02 checks","Do not translate the ratio into a percentage of observed variance"
"H02-CLAIM-003","notebooks/hypotheses/H02.qmd","Conditional Shapley allocation of in-sample fitted-model relevance placed participant patterns above site patterns: participant/site ratio 6.410 (95% CI 3.846 to 15.136) near eye and 5.687 (3.723 to 10.678) at chest","conditional_fitted_model_relevance","ratio","near eye primary; chest complementary","main all available","artifacts/09_tables/H02/dominance_summary.csv","conditional exact Shapley allocation beyond mandatory common-time baseline","c50589ee53541845cee1a104ae4aabb0bb45296a94e3ab7547fd1142ded4e84f","FLOW-H02-MAIN-GLASSES-ALL; FLOW-H02-MAIN-CHEST-ALL","","verified","Descriptive allocation of in-sample model fit conditional on the fitted subset models; not a confirmatory test or predictive validation","Production intervals use 2000 hierarchical cluster-bootstrap replicates"
"H02-CLAIM-004","audit/decisions/h02_final_analysis.md","A non-cyclic thin-plate common time smooth did not materially improve residual diagnostics, increased AIC, and weakened midnight continuity; retain the cyclic common time smooth","model_diagnostic_decision","AIC and boundary ratio","near eye and chest","diagnostic-only same-sample sensitivity","artifacts/09_tables/H02/global_time_basis_model_comparison.csv; artifacts/08_diagnostics/H02/global_time_basis_residual_metrics.csv; artifacts/08_diagnostics/H02/global_time_basis_midnight_continuity.csv","cyclic_global_primary versus noncyclic_global_tp_diagnostic","a53fdc6fa7fe6e4374d4cb49e6e45a2638964be0739598b8097326d3fba51824","FLOW-H02-MAIN-GLASSES-ALL; FLOW-H02-MAIN-CHEST-ALL","","verified","Diagnostic model-form comparison only; no variation inference Shapley allocation bootstrap or claim refit","Primary H02 fits and H11 inheritance remain unchanged"
"H02-CLAIM-005","audit/decisions/h02_final_analysis.md","The placement-matched H02 sensitivity uses identical site participant local-date and 30-minute clock keys with finite admissible values at both placements and fits each placement separately","sample_definition","participants participant-days observations sites","near eye and chest","placement matched","artifacts/06_model_data/H02/sample_counts.csv","main paired_common_sample rows","61adf723232139383aa56075587b4476e0766641f4bc311542724b8482a5ab12","FLOW-H02-MAIN-GLASSES-MATCHED; FLOW-H02-MAIN-CHEST-MATCHED","","verified","112 participants 643 participant-days 29786 observations and 8 sites at each placement","Use placement-matched rather than common-bin in reader-facing communication"
"H02-CLAIM-006","notebooks/hypotheses/H02.qmd","The matched near-eye and chest site-curve display provides a descriptive temporal comparison but its component pointwise intervals do not estimate the between-placement difference and visual concordance does not establish equivalence","descriptive_placement_comparison","site-specific fitted 30-minute curves","near eye and chest","placement matched","artifacts/11_source_data/H02/paired_placement_site_curves.csv","768 stored rows of placement-specific eta lower and upper curves","3bc65cdd98bb8e71c5bc6f586e0aab966a929cc6b47df25b8e6eaf1376f5c5c8","FLOW-H02-MAIN-GLASSES-MATCHED; FLOW-H02-MAIN-CHEST-MATCHED","","verified","Separately fitted component curves for the exact matched sample; no covariance-based difference interval and no equivalence test","Figure construction fitted no new model and is covered by H02_paired_placement_display_manifest.csv"
