hypothesis_id,preregistered_claim,unit_of_analysis,outcome,predictor,registered_covariates_or_structure,registered_model,inference_rule,family_definition_or_size,registered_primary_placement,registered_robustness_placement,registered_exclusions_and_thresholds,current_contract_status,open_contract_questions,source_locator
H01,"Personal light exposure metrics differ significantly across sites after accounting for latitude and photoperiod","Participant or participant-day according to metric","All 17 registered metric candidates across level, duration, timing, spectrum, dynamics, and exposure-history classes","Site; latitude; photoperiod only for day/night duration metrics","Participant nested in site random intercept","Metric ~ Site + Latitude + (1|Site:Participant); photoperiod included for day/night duration metrics","LMM likelihood-ratio tests at alpha 0.05; FDR within H01","17 registered metric candidates, but the PDF does not define how site, latitude, photoperiod, and contrasts are partitioned into adjustment vectors","Chest","Repeat with glasses","Days <80% valid wear excluding sleep excluded; logged non-wear removed; model-wise complete cases; values >120000 lx set NA; hours <50% valid excluded","extracted; requires implementation reconciliation","Resolve site-latitude identifiability and declare complete multiplicity vectors before adjustment","AsPredicted #273407, Q2-Q6; preregistration/AsPredicted #273407.pdf"
H02,"Variance in hourly melanopic EDI within participants nested in sites exceeds variance between sites","Repeated hourly observations nested in participant and site","Hourly geometric mean melanopic EDI","Time and site","Cyclic site-specific time smooth; participant-time factor smooth; compare within- and between-site variance components","Metric ~ Site + s(Time,by=Site,bs='cc',k=12) + s(Participant,Time,bs='fs')","Delta AIC >=2 for GAMMs; AR(1) if residual autocorrelation detected; FDR within H02 if multiple tests","One registered time-series outcome and a variance-component comparison; numeric family size not stated","Chest","Repeat with glasses","Days <80% valid wear excluding sleep excluded; logged non-wear removed; model-wise complete cases; values >120000 lx set NA; hours <50% valid excluded","extracted; documented deviations and implementation discrepancy open","Define valid variance-component estimand and reconcile 30-minute arithmetic aggregation, basis change, and added main smooth","AsPredicted #273407, Q2-Q6; preregistration/AsPredicted #273407.pdf"
H03,"Hourly self-reported light exposure categories predict hourly geometric mean melanopic EDI","Repeated hourly observations nested in participant and site","Hourly geometric mean melanopic EDI","All prespecified hourly self-reported primary light-source categories","Predictor random slope by site; participant nested in site random intercept","melEDI ~ Predictor + (Predictor|Site) + (1|Site:Participant)","LMM likelihood-ratio tests at alpha 0.05; FDR within H03","One omnibus category predictor plus all category contrasts; number of categories and exact adjustment vector not stated in PDF","Chest","Repeat with glasses","Days <80% valid wear excluding sleep excluded; logged non-wear removed; model-wise complete cases; values >120000 lx set NA; hours <50% valid excluded","extracted; documented model-family and site-structure deviations open","Declare category set, sparse-category rule, omnibus test, contrasts, and multiplicity vector","AsPredicted #273407, Q2-Q6; preregistration/AsPredicted #273407.pdf"
H04,"Hourly self-reported activity categories predict hourly geometric mean melanopic EDI","Repeated hourly observations nested in participant and site","Hourly geometric mean melanopic EDI","All prespecified hourly self-reported activity categories","Predictor random slope by site; participant nested in site random intercept","melEDI ~ Predictor + (Predictor|Site) + (1|Site:Participant)","LMM likelihood-ratio tests at alpha 0.05; FDR within H04","One omnibus category predictor plus all category contrasts; number of categories and exact adjustment vector not stated in PDF","Chest","Repeat with glasses","Days <80% valid wear excluding sleep excluded; logged non-wear removed; model-wise complete cases; values >120000 lx set NA; hours <50% valid excluded","extracted; documented model-family and site-structure deviations open","Declare category set, sparse-category rule, omnibus test, contrasts, and multiplicity vector","AsPredicted #273407, Q2-Q6; preregistration/AsPredicted #273407.pdf"
H05,"LEBA questionnaire factors correlate with selected personal light exposure metrics","Participant or participant-day according to selected metric","Selected personal light exposure metrics","Selected LEBA questionnaire factors","Site random intercept for linear models; correlation matrix also registered","Correlation matrices plus Metric ~ LEBA + (1|Site)","FDR within H05","Selected metrics multiplied by selected LEBA factors; neither set nor numeric family size is enumerated in the PDF","Chest","Repeat with glasses","Days <80% valid wear excluding sleep excluded; logged non-wear removed; model-wise complete cases; values >120000 lx set NA; hours <50% valid excluded","extracted; implementation discrepancy open","Recover dated prespecified metric and LEBA sets; use one correlation method consistently for coefficient and p-value; declare family","AsPredicted #273407, Q2-Q6; preregistration/AsPredicted #273407.pdf"
H06,"Day type, daily exercise, and sleep variables predict daily light exposure metrics","Participant-day nested in participant and site","Daily light exposure metrics","Weekday/weekend; free/work day; daily exercise; sleep variables","Measure random slope by site; participant nested in site random intercept","Metric ~ Measure + (Measure|Site) + (1|Site:Participant)","LMM likelihood-ratio tests at alpha 0.05; FDR within H06","Daily metrics crossed with registered measures; numeric family size and partition are not stated","Chest","Repeat with glasses","Days <80% valid wear excluding sleep excluded; logged non-wear removed; model-wise complete cases; values >120000 lx set NA; hours <50% valid excluded","extracted; documented outcome deviation and implementation discrepancy open","Define each day-type, exercise, and sleep measure; reconcile daily-metric contract with hourly-outcome implementation; declare family","AsPredicted #273407, Q2-Q6; preregistration/AsPredicted #273407.pdf"
H07,"There is a nonlinear ceiling effect of absolute latitude and photoperiod on level, duration, and exposure-history metrics","Participant or participant-day according to metric","Three registered level metrics, five duration metrics, and melanopic EDI dose","Absolute latitude and photoperiod tensor interaction","Site and participant random-effect smooths","Metric ~ te(Latitude,Photoperiod) + s(Site,bs='re') + s(Participant,bs='re')","Delta AIC >=2 for GAMMs; AR(1) if applicable; FDR within H07","Nine candidate metrics by registered classes; exact adjustment vector not stated","Chest","Repeat with glasses","Days <80% valid wear excluding sleep excluded; logged non-wear removed; model-wise complete cases; values >120000 lx set NA; hours <50% valid excluded","extracted; documented estimand/model deviation and ceiling-identification discrepancy open","Define a testable ceiling/plateau estimand; reconcile photoperiod-only implementation and H02-based outcome selection","AsPredicted #273407, Q2-Q6; preregistration/AsPredicted #273407.pdf"
H08,"Duration, exposure-history, and level metrics are associated with VLSQ-8 light-sensitivity scores","Participant or participant-day according to metric","Three registered level metrics, five duration metrics, and melanopic EDI dose","VLSQ-8 score and its interaction with site","Participant nested in site random intercept; predictor-by-site interaction","Metric ~ Predictor * Site + (1|Site:Participant)","LMM likelihood-ratio tests at alpha 0.05; FDR within H08","Nine candidate metrics by registered classes; exact adjustment vector and interaction family not stated","Chest","Repeat with glasses","Days <80% valid wear excluding sleep excluded; logged non-wear removed; model-wise complete cases; values >120000 lx set NA; hours <50% valid excluded","extracted; current deviation-document coverage missing; implementation reconciliation open","Define VLSQ-8 scale handling, main-effect and interaction family, and admissible metrics","AsPredicted #273407, Q2-Q6; preregistration/AsPredicted #273407.pdf"
H09,"Timing-based metrics are associated with chronotype measured by MCTQ and MEQ","Participant-day nested in participant and site","Five registered timing metrics","MCTQ and MEQ chronotype predictors and predictor-by-site interactions","Participant nested in site random intercept; predictor-by-site interaction","Metric ~ Predictor * Site + (1|Site:Participant)","LMM likelihood-ratio tests at alpha 0.05; FDR within H09","Five registered timing metrics crossed with two chronotype instruments; exact family partition not stated","Chest","Repeat with glasses","Days <80% valid wear excluding sleep excluded; logged non-wear removed; model-wise complete cases; values >120000 lx set NA; hours <50% valid excluded","extracted; current deviation-document coverage missing; implementation discrepancy open","Declare MCTQ and MEQ roles and families; restore or formally deviate from registered site interaction; reconcile changed longest-period timing metric","AsPredicted #273407, Q2-Q6; preregistration/AsPredicted #273407.pdf"
H10,"Personal light exposure metrics depend on age and sex","Participant or participant-day according to metric","All registered personal light exposure metrics","Age and sex, each interacting with site","Participant nested in site random intercept; predictor-by-site interaction","Metric ~ Predictor * Site + (1|Site:Participant)","LMM likelihood-ratio tests at alpha 0.05; FDR within H10","Up to 17 candidate metrics crossed with age and sex; exact main-effect, interaction, and predictor-family partition not stated","Chest","Repeat with glasses","Days <80% valid wear excluding sleep excluded; logged non-wear removed; model-wise complete cases; values >120000 lx set NA; hours <50% valid excluded","extracted; current deviation-document coverage missing; implementation/output discrepancies open","Declare separate age and sex families, sparse-cell handling, sex/gender construct use, and placement-specific output names","AsPredicted #273407, Q2-Q6; preregistration/AsPredicted #273407.pdf"
