deviation_id,hypothesis_ids,dimension,relationship,status,source_locator
DEV-001,"H01|H02|H03|H04|H05|H06|H07|H08|H09|H10|H11","placement","cross_cutting","approved","audit/decisions/placement_decision.md"
DEV-002,"H01|H02|H03|H04|H05|H06|H07|H08|H09|H10|H11","display_reporting","reporting_only","documented","_deviations.qmd:4"
DEV-003,"H01|H02|H03|H04|H05|H06|H07|H08|H09|H10|H11","inclusion","cross_cutting","open_reaudit","_deviations.qmd:5"
DEV-004,"H01|H02|H03|H04|H05|H06|H07|H08|H09|H10|H11","sample_support","cross_cutting","open_reaudit","_deviations.qmd:6"
DEV-005,"H01|H02|H03|H04|H05|H06|H07|H08|H09|H10|H11","state_and_nonwear","upstream_input","open_reaudit","_deviations.qmd:10"
DEV-006,"H01|H02|H03|H04|H05|H06|H07|H08|H09|H10|H11","sleep_window","upstream_input","open_reaudit","_deviations.qmd:11"
DEV-007,"H01|H05|H06|H07|H08|H10","metric_L10","direct_outcome","approved","audit/evidence/preregistration_contract.md:51-60"
DEV-008,"H01|H05|H06|H09|H10","metric_mean_timing","direct_outcome","open_reaudit","_deviations.qmd:13"
DEV-009,"H01","model_predictors","direct","open_reaudit","audit/hypotheses/H01-H04_migration_map.md:158-176"
DEV-010,"H02","smooth_basis","direct","approved_verified","audit/decisions/h02_final_analysis.md"
DEV-011,"H02","model_structure","direct","approved_verified","audit/decisions/h02_final_analysis.md"
DEV-012,"H02","outcome_epoch","direct","approved_verified","audit/decisions/h02_final_analysis.md"
DEV-013,"H03|H04","site_structure","direct","open_reaudit","audit/hypotheses/H01-H04_migration_map.md:753-766"
DEV-014,"H03|H04","error_distribution","direct","open_reaudit","audit/hypotheses/H01-H04_migration_map.md:753-766"
DEV-015,"H06","outcome_estimand","direct","open_reaudit","audit/hypotheses/H05-H08_migration_map.md:565-584"
DEV-016,"H07","predictor_and_outcome_selection","direct","open_reaudit","audit/hypotheses/H05-H08_migration_map.md:996-1014"
DOC-001,"H08|H09|H10|H11","documentation","cross_cutting","in_progress","audit/hypotheses/H05-H08_migration_map.md:1469-1471; audit/hypotheses/H09-H11_migration_map.md:1280-1282"
IMP-001,"H01|H05|H08|H09|H10","multiplicity","direct","open","audit/ledgers/deviation_register.csv"
IMP-002,"H01|H02|H03|H04|H05|H06|H07|H08|H09|H10|H11","signal_boundary","upstream_input","approved","audit/decisions/saturation_boundary.md"
IMP-003,"H01|H02|H03|H04|H05|H06|H07|H08|H09|H10|H11","sample_flow","cross_cutting","open","audit/ledgers/deviation_register.csv"
IMP-004,"H01","model_fit_reporting","direct","open","audit/hypotheses/H01-H04_migration_map.md:313-317"
IMP-005,"H02|H11","variance_interpretation","direct","h02_resolved_h11_pending","audit/decisions/h02_final_analysis.md; audit/handoffs/H11_worker_handoff.md"
IMP-006,"H05","correlation_inference","direct","open","audit/hypotheses/H05-H08_migration_map.md:398-401"
IMP-007,"H06","result_provenance","direct","open","audit/hypotheses/H05-H08_migration_map.md:794-800"
IMP-008,"H07","ceiling_estimand_and_display","direct","open","audit/hypotheses/H05-H08_migration_map.md:1124-1149"
IMP-009,"H09","model_and_estimate_provenance","direct","open","audit/hypotheses/H09-H11_migration_map.md:448-456"
IMP-010,"H01|H02|H07|H11","model_comparison","direct","open","audit/ledgers/deviation_register.csv"
IMP-011,"H10","output_provenance","direct","open","audit/hypotheses/H09-H11_migration_map.md:827-838"
IMP-012,"H01|H02|H03|H04|H05|H06|H07|H08|H09|H10|H11","hybrid_construct","cross_cutting","approved","audit/decisions/metric_validity.md"
IMP-013,"H01|H05|H06|H10","metric_MDER","direct_outcome","superseded_resolved_by_METRIC_010","audit/decisions/mder_mean_of_viable_ratios.md"
IMP-014,"H01|H05|H06|H10","metric_dynamics_and_bouts","direct_outcome","open","audit/decisions/metric_validity.md:98-139"
IMP-015,"H01|H02|H03|H04|H05|H06|H07|H08|H09|H10|H11","metric_temporal_support","upstream_input","open","audit/decisions/metric_validity.md"
IMP-016,"H01|H05|H06|H07|H08|H10","metric_dose","direct_outcome","open","audit/decisions/metric_validity.md"
IMP-017,"H01|H02|H03|H04|H05|H06|H07|H08|H09|H10|H11","time_axes_and_DST","upstream_input","approved","audit/findings/timestamp_dst_fallback.md"
IMP-018,"H01|H02|H03|H04|H05|H06|H07|H08|H09|H10|H11","state_precedence","upstream_input","approved","audit/findings/state_precedence_and_channel_mask.md"
IMP-019,"H01|H02|H03|H04|H05|H06|H07|H08|H09|H10|H11","channel_validity","upstream_input","approved","audit/findings/state_precedence_and_channel_mask.md"
REP-001,"H01|H02|H03|H04|H05|H06|H07|H08|H09|H10|H11","placement_pooling","cross_cutting","approved","audit/decisions/placement_decision.md"
REP-002,"H01|H02|H03|H04|H05|H06|H07|H08|H09|H10|H11","placement_sensitivity","cross_cutting","approved","audit/decisions/placement_decision.md"
REP-003,"H01|H02|H03|H04|H05|H06|H07|H08|H09|H10|H11","sleep_construct_language","cross_cutting","approved","audit/decisions/placement_decision.md"
IMP-020,"H01|H02|H03|H04|H05|H06|H07|H08|H09|H10|H11","source_epoch","upstream_input","approved","audit/findings/heterogeneous_source_epochs.md"
IMP-021,"H04","activity_screen","direct","open_reaudit","audit/hypotheses/H01-H04_migration_map.md:1145-1155"
DEV-017,"H01","photoperiod_scope","direct","approved","audit/hypotheses/H01-H04_migration_map.md:334-339; audit/decisions/h01_model_specification.md"
DEV-018,"H01","response_family","direct","approved","audit/hypotheses/H01-H04_migration_map.md:215-226; audit/decisions/h01_model_specification.md"
DEV-019,"H02|H11","static_day_inclusion","upstream_input","h02_resolved_h11_inherits_preparation","audit/decisions/h02_final_analysis.md; audit/findings/all_zero_medi_days.md"
DEV-020,"H02","photoperiod_state_smooth","direct","resolved_removed_from_primary","audit/decisions/h02_final_analysis.md"
DEV-021,"H02","participant_day_hierarchy","direct","approved_verified","audit/decisions/h02_final_analysis.md"
DEV-022,"H03","light_source_categories","direct","pending_author_decision","audit/hypotheses/H01-H04_migration_map.md:792-817"
DEV-023,"H03","primary_test_estimand","direct","pending_author_decision","audit/hypotheses/H01-H04_migration_map.md:819-842"
DEV-024,"H03","multiplicity","direct","pending_author_decision","audit/hypotheses/H01-H04_migration_map.md:855-869"
