"metric_id","metric","family","analysis_unit","state_and_placement_domain","current_validity","approved_action","estimand","units","primary_rule","reference_profile_use","sensitivity","failure_condition","retained_data_vs_metric_na","baseline_count_unit","baseline_current_glasses_denominator","baseline_current_glasses_nonmissing","baseline_current_glasses_metric_na","baseline_current_chest_denominator","baseline_current_chest_nonmissing","baseline_current_chest_metric_na","baseline_source","baseline_verification","rationale"
"MV-001","30-minute arithmetic mean melanopic EDI","level/time series","participant × local-clock 30-minute bin","Near-eye waking/pre-sleep and bedside sleep-environment intervals in the intentional hybrid record; chest is complementary","modify","Retain the H2/H11 outcome; replace row-deleting/static-day behavior with explicit bin support and metric-specific NA","Arithmetic mean melanopic EDI within a supported 30-minute local-clock bin, transformed only at the modelling stage","lx","Retain a bin with at least 15 of 30 valid one-minute intervals; preserve the expected grid and report expected intervals, valid intervals, ordinary coverage, placement, state, and gap status; an unsupported bin is NA and the participant-day remains retained","Reference profiles are learned at 30-minute resolution and provide metric-specific support weights; they do not replace or scale the observed bin value","Pooled-across-site profile within placement × state is primary; site-specific and leave-one-site-out profiles; complementary chest/common-sample scenario","Fewer than 15 valid one-minute intervals, unresolved time-zone/DST interval, or all MEDI invalid","A failed bin or static outcome is NA with a reason; do not remove the otherwise eligible participant-day","30-minute rows in current output","38832","37603","1229","42912","41664","1248","data/metrics_separate_glasses.RData and data/metrics_separate_chest.RData; current objects omit 2/3 otherwise retained glasses/chest days","baseline/current; R-verified 2026-07-29 with R 4.6.1; not final","H2/H11 model lzMEDI as the zero-aware log of the 30-minute arithmetic mean, and _deviations.qmd:20 explicitly specifies the 30-minute average; the earlier audit label of geometric mean was incorrect"
"MV-020","1-hour zero-aware geometric mean melanopic EDI","level/time series","participant × local-clock hour","Near-eye waking/pre-sleep and bedside sleep-environment intervals in the intentional hybrid record, optionally stratified by the declared H3/H4/H6 context; chest is complementary","modify","Retain the H3/H4/H6 outcome with explicit hourly support and without static-day deletion","Zero-aware geometric mean melanopic EDI within a supported local-clock hour","lx","Retain an hour with at least 30 of 60 valid one-minute intervals; preserve missing minutes and context/state boundaries; an unsupported hour is metric-specific NA rather than a whole-day exclusion","The fixed 30-minute MEDI profile is aggregated to the same hourly domain for support diagnostics only; it does not scale the geometric mean","Coverage 70%/90% scenarios where the hourly outcome remains defined; paired/common-sample chest complementary; declared model-family sensitivities","Fewer than 30 valid one-minute intervals, unresolved context/state support, or all MEDI invalid","A failed hour is NA with a reason; the otherwise eligible participant-day remains available to other metrics","not separately stored in a canonical baseline artifact","","","","","","","RQ2.qmd and RQ2_chest.qmd generate hourly outcomes from stage-2 data inside H3/H4/H6 code","implementation and final counts pending canonical derivation","H3/H4/H6 use an hourly zero-aware geometric mean, which is a distinct estimand from the 30-minute arithmetic mean used by H2/H11"
"MV-002","Daily geometric mean melanopic EDI","level","participant-day","Intentional hybrid 24-hour record: near-eye while waking/pre-sleep and bedside sleep environment during sleep; chest is complementary","modify","Retain after adding explicit support and construct qualification","Zero-aware geometric mean of valid melanopic EDI intervals over an eligible hybrid participant-day","lx","Retain 80% daily eligibility; compute from valid intervals; report ordinary and profile-weighted coverage; do not divide a geometric mean by coverage","Fixed pooled MEDI profile is a support diagnostic only, not a scale factor","Site-specific and leave-one-site-out profiles; valid 70%/90% eligibility scenarios; paired chest as complementary evidence","Day fails base eligibility, contains no supported MEDI, or profile support cannot be established","Failure is metric-specific NA only after base eligibility has been evaluated; other supported day metrics remain","participant-days","811","811","0","897","897","0","data/metrics_separate_glasses.RData and data/metrics_separate_chest.RData","baseline/current; R-verified 2026-07-29 with R 4.6.1; not final","A distributional mean can remain interpretable on eligible observed intervals, but time-selective missingness must be exposed and the hybrid construct named"
"MV-003","M10 mean melanopic EDI","level/window","participant-day","Brightest supported 10-hour window of the intentional hybrid day; primary placement profile is near-eye/bedside by state","modify","Retain with supported 30-minute candidate-window selection","Zero-aware geometric mean melanopic EDI within the brightest supported 10-hour window","lx","Evaluate 20 consecutive local-clock bins per candidate; require explicit ordinary and profile-weighted candidate support; select only among supported candidates; do not compress missing time","Fixed MEDI profile diagnoses candidate support; it does not scale the window mean","Pooled profile primary; site-specific and leave-one-site-out profiles; coverage scenarios where a valid candidate remains","No supported 20-bin candidate, unresolved gap/boundary, or all candidate MEDI invalid","Metric-specific NA with no_supported_candidate; the participant-day remains available to other metrics","participant-days","811","811","0","897","897","0","data/metrics_separate_glasses.RData and data/metrics_separate_chest.RData","baseline/current; R-verified 2026-07-29 with R 4.6.1; not final","Current na.rm-based extrema can select a poorly observed window; candidate support is required"
"MV-004","L10 mean melanopic EDI","level/window","participant-day","Darkest supported 10-hour window of the intentional hybrid day, often spanning near-eye wake/pre-sleep and bedside sleep environment","modify","Retain L10 with supported midnight-wrapping candidate selection and the source-verified numerical-zero rule; explicitly replace L5","Zero-aware geometric mean melanopic EDI within the darkest supported 10-hour window","lx","Evaluate every eligible one-minute start with wrap across midnight; require candidate support and select only among supported candidates; do not compress missing time; after offset backtransformation normalize an in-tolerance positive residual to zero only when every finite selected-window source minute is exactly zero; retain missing minutes as missing","Fixed MEDI profile diagnoses candidate support; it does not scale the window mean","Pooled profile primary; site-specific and leave-one-site-out profiles; coverage scenarios where a valid candidate remains","No supported candidate unresolved midnight/DST boundary all candidate MEDI invalid or a materially negative backtransform below the METRIC-011 tolerance","Metric-specific NA for unsupported candidates; supported source-verified numerical zeros remain retained as exact zero and enter the occurrence component of a two-part model","participant-days","816","816","0","902","902","0","artifacts/05_metrics/metrics_glasses_participant_day.rds and artifacts/05_metrics/metrics_chest_participant_day.rds","current; independently verified 2026-08-12 under METRIC-011 with R 4.6.1; evidence manifest a37efd3449a8d1a6065d0eb8964bd6cf8b241f1683a26c065ea1a946e23214fb","L10 remains coherent with the registered timing metric; its hybrid near-eye/bedside meaning and support are explicit and source-proven floating-point remnants of physical zero are not misclassified as positive exposure"
"MV-005","L5 mean melanopic EDI","level/window","participant-day","Not applicable","exclude","Do not calculate, model, display, or report L5","None; approved darkest-window level metric is L10 mean","not applicable","No L5 producer or output column is permitted","None","None","Any L5 value or label is a validation failure","No metric-specific NA column is needed because the metric is absent by design","not produced","","","","","","","No L5 column exists in the current metric RData; data_preparation.qmd preface contains stale L5 wording","baseline/current absence inspected 2026-07-29; not an analytical count","The approved deviation uses the 10 darkest hours and explicitly disallows a 5-hour level metric"
"MV-006","Time above 1,000 lx melanopic EDI","duration/threshold","participant-day","All valid intervals of the intentional hybrid day; interpretation changes to bedside environment during sleep","modify","Retain with actual-duration and support rules; never scale by coverage","Total observed supported duration above 1,000 lx melanopic EDI on an eligible hybrid day","h","Sum actual valid interval durations above threshold; missing and disallowed gaps contribute unknown time, not zero; do not multiply or divide by coverage","MEDI profile measures whether missing time is concentrated in likely high-exposure bins; it is support evidence only","Pooled profile primary; site-specific and leave-one-site-out profiles; eligible 70%/90% scenarios; paired chest complementary","Target domain insufficiently supported; zero is valid only when adequate observation establishes no qualifying interval","Unsupported result is metric-specific NA; an adequately observed no-event day is retained with value 0","participant-days","811","811","0","897","897","0","data/metrics_separate_glasses.RData and data/metrics_separate_chest.RData","baseline/current; R-verified 2026-07-29 with R 4.6.1; not final","Threshold duration is additive over observed valid intervals but blind coverage scaling would invent threshold status during missing time"
"MV-007","Time above 250 lx melanopic EDI during wake","duration/threshold/state","participant-day","Valid waking near-eye wear is primary; chest waking exposure is complementary; sleep is outside the metric domain","modify","Retain as a state-conditional duration with metric-specific support","Total observed supported waking-wear duration above 250 lx melanopic EDI","h","Project the canonical diary and wear intervals onto the complete true-minute grid; sum actual valid waking interval durations; terminate at state, wear, or gap boundaries; report the complete waking-state denominator; do not scale by coverage","Wake × placement MEDI profile diagnoses time-selective support only","Pooled profile primary; site-specific and leave-one-site-out profiles; eligible 70%/90% scenarios; paired chest complementary","Unbounded calendar-day diary-state domain, no wake state on a complete domain, inadequate valid waking support, or unresolved state/wear boundary; zero only for an adequately observed no-event wake window","Metric-specific NA is reason-coded as incomplete_state_domain, no_state_window, or insufficient_state_support and does not remove the retained day or its non-wake metrics","participant-days","811","755","56","897","839","58","data/metrics_separate_glasses.RData and data/metrics_separate_chest.RData","baseline/current; R-verified 2026-07-29 with R 4.6.1; not final","This metric directly targets waking near-eye exposure, so its denominator is the interval-projected waking domain rather than source-present rows or the full day"
"MV-008","Time below 10 lx melanopic EDI during pre-sleep","duration/threshold/state","participant-day","Declared pre-sleep interval; near-eye measurement while worn is primary and chest is complementary","modify","Retain with explicit pre-sleep state support and boundaries","Total observed supported pre-sleep duration below 10 lx melanopic EDI","h","Project the canonical diary intervals onto the complete true-minute grid; sum actual valid interval durations below threshold inside the declared pre-sleep state; do not bridge missingness or scale by coverage","Pre-sleep × placement MEDI profile diagnoses support only","Pooled profile primary; site-specific and leave-one-site-out profiles; state-window coverage scenarios; paired chest complementary","Unbounded calendar-day diary-state domain, no pre-sleep state on a complete domain, or inadequate valid pre-sleep support","Metric-specific NA is reason-coded as incomplete_state_domain, no_state_window, or insufficient_state_support; other metrics and the day remain","participant-days","811","780","31","897","867","30","data/metrics_separate_glasses.RData and data/metrics_separate_chest.RData","baseline/current; R-verified 2026-07-29 with R 4.6.1; not final","State-specific duration is interpretable only when the complete calendar-day state domain and its pre-sleep denominator are known"
"MV-009","Time below 1 lx melanopic EDI during sleep","duration/threshold/state","participant-day","Bedside sleep environment only; neither glasses nor chest nominal wearing-position language applies during sleep","modify","Retain with bedside-environment label, sleep-window support, and explicit boundaries","Total observed supported bedside sleep-environment duration below 1 lx melanopic EDI","h","Project the canonical diary intervals onto the complete true-minute grid; sum actual valid interval durations below threshold inside the reported sleep window; do not bridge missingness or infer ocular dose","Sleep-state MEDI profile diagnoses support; placement labels identify logger source but not worn position","Pooled profile primary; site-specific and leave-one-site-out profiles; sleep-window coverage scenarios; paired-device comparison is environmental agreement only","Unbounded calendar-day diary-state domain, no sleep state on a complete domain, or inadequate valid sleep-environment support","Metric-specific NA is reason-coded as incomplete_state_domain, no_state_window, or insufficient_state_support; the participant-day remains retained","participant-days","811","790","21","897","878","19","data/metrics_separate_glasses.RData and data/metrics_separate_chest.RData","baseline/current; R-verified 2026-07-29 with R 4.6.1; not final","The value can characterize the sleep environment only when the complete calendar-day diary-state domain is bounded and cannot be interpreted as ocular exposure while the device is beside the bed"
