"flow_id","run_id","placement","scenario","stage","site","participants","participant_days","hours","observations","excluded_participants","excluded_days","excluded_hours","excluded_observations","reason","producer","artifact_sha256","status"
"FLOW-P04-RULEA-GLASSES-ALL-S01","PREP04-R461-ac0325716421","glasses","primary_rule_A","aligned_real_minutes","ALL",143,1136,27266,1635960,0,0,0,0,"canonical stage branch=common; observations are true-UTC minute support opportunities and hours=observations/60; exclusions are relative to aligned_real_minutes","scripts/pipeline/build_coverage_sample_flow.R","f1ac7981e410ed46dd445cf320b3bb744b2d2b7255ea29cbd8713072e89ff8a2","verified_rule_A_stage_flow"
"FLOW-P04-RULEA-GLASSES-ALL-S02","PREP04-R461-ac0325716421","glasses","primary_rule_A","precoverage_medi_finite","ALL",143,1135,22350.95,1341057,0,1,4915.05,294903,"canonical stage branch=MEDI; observations are true-UTC minute support opportunities and hours=observations/60; exclusions are relative to aligned_real_minutes","scripts/pipeline/build_coverage_sample_flow.R","f1ac7981e410ed46dd445cf320b3bb744b2d2b7255ea29cbd8713072e89ff8a2","verified_rule_A_stage_flow"
"FLOW-P04-RULEA-GLASSES-ALL-S03","PREP04-R461-ac0325716421","glasses","primary_rule_A","precoverage_light_finite","ALL",143,1135,22351.8166666667,1341109,0,1,4914.18333333333,294851,"canonical stage branch=LIGHT; observations are true-UTC minute support opportunities and hours=observations/60; exclusions are relative to aligned_real_minutes","scripts/pipeline/build_coverage_sample_flow.R","f1ac7981e410ed46dd445cf320b3bb744b2d2b7255ea29cbd8713072e89ff8a2","verified_rule_A_stage_flow"
"FLOW-P04-RULEA-GLASSES-ALL-S04","PREP04-R461-ac0325716421","glasses","primary_rule_A","hour_eligible_real_minutes","ALL",143,1134,22484,1349040,0,2,4782,286920,"canonical stage branch=coverage; observations are true-UTC minute support opportunities and hours=observations/60; exclusions are relative to aligned_real_minutes","scripts/pipeline/build_coverage_sample_flow.R","f1ac7981e410ed46dd445cf320b3bb744b2d2b7255ea29cbd8713072e89ff8a2","verified_rule_A_stage_flow"
"FLOW-P04-RULEA-GLASSES-ALL-S05","PREP04-R461-ac0325716421","glasses","primary_rule_A","day_eligible_real_minutes","ALL",141,811,19466,1167960,2,325,7800,468000,"canonical stage branch=coverage; observations are true-UTC minute support opportunities and hours=observations/60; exclusions are relative to aligned_real_minutes","scripts/pipeline/build_coverage_sample_flow.R","f1ac7981e410ed46dd445cf320b3bb744b2d2b7255ea29cbd8713072e89ff8a2","verified_rule_A_stage_flow"
"FLOW-P04-RULEA-GLASSES-ALL-S06","PREP04-R461-ac0325716421","glasses","primary_rule_A","hour_and_day_eligible_real_minutes","ALL",141,811,18871,1132260,2,325,8395,503700,"canonical stage branch=coverage; observations are true-UTC minute support opportunities and hours=observations/60; exclusions are relative to aligned_real_minutes","scripts/pipeline/build_coverage_sample_flow.R","f1ac7981e410ed46dd445cf320b3bb744b2d2b7255ea29cbd8713072e89ff8a2","verified_rule_A_stage_flow"
"FLOW-P04-RULEA-GLASSES-ALL-S07","PREP04-R461-ac0325716421","glasses","primary_rule_A","medi_eligible_real_minutes","ALL",141,811,18671.0166666667,1120261,2,325,8594.98333333333,515699,"canonical stage branch=MEDI; observations are true-UTC minute support opportunities and hours=observations/60; exclusions are relative to aligned_real_minutes","scripts/pipeline/build_coverage_sample_flow.R","f1ac7981e410ed46dd445cf320b3bb744b2d2b7255ea29cbd8713072e89ff8a2","verified_rule_A_stage_flow"
"FLOW-P04-RULEA-GLASSES-ALL-S08","PREP04-R461-ac0325716421","glasses","primary_rule_A","light_eligible_real_minutes","ALL",141,811,18671.7833333333,1120307,2,325,8594.21666666667,515653,"canonical stage branch=LIGHT; observations are true-UTC minute support opportunities and hours=observations/60; exclusions are relative to aligned_real_minutes","scripts/pipeline/build_coverage_sample_flow.R","f1ac7981e410ed46dd445cf320b3bb744b2d2b7255ea29cbd8713072e89ff8a2","verified_rule_A_stage_flow"
"FLOW-P04-RULEA-CHEST-ALL-S01","PREP04-R461-ac0325716421","chest","primary_rule_A","aligned_real_minutes","ALL",157,1249,29976,1798560,0,0,0,0,"canonical stage branch=common; observations are true-UTC minute support opportunities and hours=observations/60; exclusions are relative to aligned_real_minutes","scripts/pipeline/build_coverage_sample_flow.R","f1ac7981e410ed46dd445cf320b3bb744b2d2b7255ea29cbd8713072e89ff8a2","verified_rule_A_stage_flow"
"FLOW-P04-RULEA-CHEST-ALL-S02","PREP04-R461-ac0325716421","chest","primary_rule_A","precoverage_medi_finite","ALL",157,1249,24696.75,1481805,0,0,5279.25,316755,"canonical stage branch=MEDI; observations are true-UTC minute support opportunities and hours=observations/60; exclusions are relative to aligned_real_minutes","scripts/pipeline/build_coverage_sample_flow.R","f1ac7981e410ed46dd445cf320b3bb744b2d2b7255ea29cbd8713072e89ff8a2","verified_rule_A_stage_flow"
"FLOW-P04-RULEA-CHEST-ALL-S03","PREP04-R461-ac0325716421","chest","primary_rule_A","precoverage_light_finite","ALL",157,1249,24698.1666666667,1481890,0,0,5277.83333333333,316670,"canonical stage branch=LIGHT; observations are true-UTC minute support opportunities and hours=observations/60; exclusions are relative to aligned_real_minutes","scripts/pipeline/build_coverage_sample_flow.R","f1ac7981e410ed46dd445cf320b3bb744b2d2b7255ea29cbd8713072e89ff8a2","verified_rule_A_stage_flow"
"FLOW-P04-RULEA-CHEST-ALL-S04","PREP04-R461-ac0325716421","chest","primary_rule_A","hour_eligible_real_minutes","ALL",157,1247,24840,1490400,0,2,5136,308160,"canonical stage branch=coverage; observations are true-UTC minute support opportunities and hours=observations/60; exclusions are relative to aligned_real_minutes","scripts/pipeline/build_coverage_sample_flow.R","f1ac7981e410ed46dd445cf320b3bb744b2d2b7255ea29cbd8713072e89ff8a2","verified_rule_A_stage_flow"
"FLOW-P04-RULEA-CHEST-ALL-S05","PREP04-R461-ac0325716421","chest","primary_rule_A","day_eligible_real_minutes","ALL",154,897,21528,1291680,3,352,8448,506880,"canonical stage branch=coverage; observations are true-UTC minute support opportunities and hours=observations/60; exclusions are relative to aligned_real_minutes","scripts/pipeline/build_coverage_sample_flow.R","f1ac7981e410ed46dd445cf320b3bb744b2d2b7255ea29cbd8713072e89ff8a2","verified_rule_A_stage_flow"
"FLOW-P04-RULEA-CHEST-ALL-S06","PREP04-R461-ac0325716421","chest","primary_rule_A","hour_and_day_eligible_real_minutes","ALL",154,897,20925,1255500,3,352,9051,543060,"canonical stage branch=coverage; observations are true-UTC minute support opportunities and hours=observations/60; exclusions are relative to aligned_real_minutes","scripts/pipeline/build_coverage_sample_flow.R","f1ac7981e410ed46dd445cf320b3bb744b2d2b7255ea29cbd8713072e89ff8a2","verified_rule_A_stage_flow"
"FLOW-P04-RULEA-CHEST-ALL-S07","PREP04-R461-ac0325716421","chest","primary_rule_A","medi_eligible_real_minutes","ALL",154,897,20710.1,1242606,3,352,9265.9,555954,"canonical stage branch=MEDI; observations are true-UTC minute support opportunities and hours=observations/60; exclusions are relative to aligned_real_minutes","scripts/pipeline/build_coverage_sample_flow.R","f1ac7981e410ed46dd445cf320b3bb744b2d2b7255ea29cbd8713072e89ff8a2","verified_rule_A_stage_flow"
"FLOW-P04-RULEA-CHEST-ALL-S08","PREP04-R461-ac0325716421","chest","primary_rule_A","light_eligible_real_minutes","ALL",154,897,20711.4666666667,1242688,3,352,9264.53333333333,555872,"canonical stage branch=LIGHT; observations are true-UTC minute support opportunities and hours=observations/60; exclusions are relative to aligned_real_minutes","scripts/pipeline/build_coverage_sample_flow.R","f1ac7981e410ed46dd445cf320b3bb744b2d2b7255ea29cbd8713072e89ff8a2","verified_rule_A_stage_flow"
"FLOW-P04-RULEA-GLASSES-BAUA-FINAL","PREP04-R461-ac0325716421","glasses","primary_rule_A","hour_and_day_eligible_real_minutes","BAUA",18,106,2470,148200,1,39,1010,60600,"canonical Rule A final hourly-and-daily eligible true-UTC minute support; exclusions relative to site aligned_real_minutes","scripts/pipeline/build_coverage_sample_flow.R","f1ac7981e410ed46dd445cf320b3bb744b2d2b7255ea29cbd8713072e89ff8a2","verified_rule_A_site_flow"
"FLOW-P04-RULEA-GLASSES-FUSPCEU-FINAL","PREP04-R461-ac0325716421","glasses","primary_rule_A","hour_and_day_eligible_real_minutes","FUSPCEU",23,127,2992,179520,0,55,1378,82680,"canonical Rule A final hourly-and-daily eligible true-UTC minute support; exclusions relative to site aligned_real_minutes","scripts/pipeline/build_coverage_sample_flow.R","f1ac7981e410ed46dd445cf320b3bb744b2d2b7255ea29cbd8713072e89ff8a2","verified_rule_A_site_flow"
"FLOW-P04-RULEA-GLASSES-IZTECH-FINAL","PREP04-R461-ac0325716421","glasses","primary_rule_A","hour_and_day_eligible_real_minutes","IZTECH",17,102,2381,142860,0,38,979,58740,"canonical Rule A final hourly-and-daily eligible true-UTC minute support; exclusions relative to site aligned_real_minutes","scripts/pipeline/build_coverage_sample_flow.R","f1ac7981e410ed46dd445cf320b3bb744b2d2b7255ea29cbd8713072e89ff8a2","verified_rule_A_site_flow"
"FLOW-P04-RULEA-GLASSES-KNUST-FINAL","PREP04-R461-ac0325716421","glasses","primary_rule_A","hour_and_day_eligible_real_minutes","KNUST",15,80,1844,110640,0,39,1012,60720,"canonical Rule A final hourly-and-daily eligible true-UTC minute support; exclusions relative to site aligned_real_minutes","scripts/pipeline/build_coverage_sample_flow.R","f1ac7981e410ed46dd445cf320b3bb744b2d2b7255ea29cbd8713072e89ff8a2","verified_rule_A_site_flow"
"FLOW-P04-RULEA-GLASSES-MPI-FINAL","PREP04-R461-ac0325716421","glasses","primary_rule_A","hour_and_day_eligible_real_minutes","MPI",26,150,3472,208320,0,58,1522,91320,"canonical Rule A final hourly-and-daily eligible true-UTC minute support; exclusions relative to site aligned_real_minutes","scripts/pipeline/build_coverage_sample_flow.R","f1ac7981e410ed46dd445cf320b3bb744b2d2b7255ea29cbd8713072e89ff8a2","verified_rule_A_site_flow"
"FLOW-P04-RULEA-GLASSES-RISE-FINAL","PREP04-R461-ac0325716421","glasses","primary_rule_A","hour_and_day_eligible_real_minutes","RISE",13,78,1817,109020,1,29,750,45000,"canonical Rule A final hourly-and-daily eligible true-UTC minute support; exclusions relative to site aligned_real_minutes","scripts/pipeline/build_coverage_sample_flow.R","f1ac7981e410ed46dd445cf320b3bb744b2d2b7255ea29cbd8713072e89ff8a2","verified_rule_A_site_flow"
"FLOW-P04-RULEA-GLASSES-THUAS-FINAL","PREP04-R461-ac0325716421","glasses","primary_rule_A","hour_and_day_eligible_real_minutes","THUAS",13,78,1803,108180,0,29,764,45840,"canonical Rule A final hourly-and-daily eligible true-UTC minute support; exclusions relative to site aligned_real_minutes","scripts/pipeline/build_coverage_sample_flow.R","f1ac7981e410ed46dd445cf320b3bb744b2d2b7255ea29cbd8713072e89ff8a2","verified_rule_A_site_flow"
"FLOW-P04-RULEA-GLASSES-TUM-FINAL","PREP04-R461-ac0325716421","glasses","primary_rule_A","hour_and_day_eligible_real_minutes","TUM",10,60,1390,83400,0,20,530,31800,"canonical Rule A final hourly-and-daily eligible true-UTC minute support; exclusions relative to site aligned_real_minutes","scripts/pipeline/build_coverage_sample_flow.R","f1ac7981e410ed46dd445cf320b3bb744b2d2b7255ea29cbd8713072e89ff8a2","verified_rule_A_site_flow"
"FLOW-P04-RULEA-GLASSES-UCR-FINAL","PREP04-R461-ac0325716421","glasses","primary_rule_A","hour_and_day_eligible_real_minutes","UCR",6,30,702,42120,0,18,450,27000,"canonical Rule A final hourly-and-daily eligible true-UTC minute support; exclusions relative to site aligned_real_minutes","scripts/pipeline/build_coverage_sample_flow.R","f1ac7981e410ed46dd445cf320b3bb744b2d2b7255ea29cbd8713072e89ff8a2","verified_rule_A_site_flow"
"FLOW-P04-RULEA-CHEST-BAUA-FINAL","PREP04-R461-ac0325716421","chest","primary_rule_A","hour_and_day_eligible_real_minutes","BAUA",20,113,2645,158700,2,50,1267,76020,"canonical Rule A final hourly-and-daily eligible true-UTC minute support; exclusions relative to site aligned_real_minutes","scripts/pipeline/build_coverage_sample_flow.R","f1ac7981e410ed46dd445cf320b3bb744b2d2b7255ea29cbd8713072e89ff8a2","verified_rule_A_site_flow"
"FLOW-P04-RULEA-CHEST-FUSPCEU-FINAL","PREP04-R461-ac0325716421","chest","primary_rule_A","hour_and_day_eligible_real_minutes","FUSPCEU",22,122,2876,172560,0,52,1302,78120,"canonical Rule A final hourly-and-daily eligible true-UTC minute support; exclusions relative to site aligned_real_minutes","scripts/pipeline/build_coverage_sample_flow.R","f1ac7981e410ed46dd445cf320b3bb744b2d2b7255ea29cbd8713072e89ff8a2","verified_rule_A_site_flow"
"FLOW-P04-RULEA-CHEST-IZTECH-FINAL","PREP04-R461-ac0325716421","chest","primary_rule_A","hour_and_day_eligible_real_minutes","IZTECH",17,103,2404,144240,0,37,956,57360,"canonical Rule A final hourly-and-daily eligible true-UTC minute support; exclusions relative to site aligned_real_minutes","scripts/pipeline/build_coverage_sample_flow.R","f1ac7981e410ed46dd445cf320b3bb744b2d2b7255ea29cbd8713072e89ff8a2","verified_rule_A_site_flow"
