feedback_id,reviewer,comment_topic,requested_action,disposition,rationale,implementation_status,affected_artifacts,source_locator
NM-R1-00,"Nature Medicine Reviewer 1","Overall contribution and hierarchy","Clarify the central contribution and distinguish central, secondary, exploratory, and sensitivity findings","adopt","This directly improves interpretability and matches the Nature Health broad-audience retargeting while preserving H01-H11 traceability","open; implement after analysis stabilization","index.qmd; Supplementary Information; cover letter","manuscript/reviewer_comments_NatMed.rtf, Reviewer 1 overall evaluation; SHA-256 15290f731f8fae2539529903361a48c9aa231f61d5290fa136e68ee01fc6130a"
NM-R1-01,"Nature Medicine Reviewer 1","Results hierarchy","Organize Results around a small number of principal findings, label analytic roles, map subsections to preregistered hypotheses, and summarize each research question","adopt","The current eleven-hypothesis presentation gives similar weight to central, null, and unstable findings; role labels can coexist with full supplementary traceability","open; implement after H01-H11 re-audit","index.qmd Results; Supplementary Information; hypothesis and claim ledgers","manuscript/reviewer_comments_NatMed.rtf, Reviewer 1 comment 1"
NM-R1-02,"Nature Medicine Reviewer 1","Metric accessibility","Provide a conceptual guide with metric name, abbreviation, input, unit/range, rationale, interpretation, and recommendation/reference range","adopt","Metric definitions and units are essential for non-specialist Nature Health readers and for preventing construct drift","open; implement after metric-validity decisions","main display or editable table; Methods; Supplementary metric glossary; source-data files","manuscript/reviewer_comments_NatMed.rtf, Reviewer 1 comment 2"
NM-R1-03,"Nature Medicine Reviewer 1","Health-evidence synthesis","Critically distinguish observational health associations, experimental physiological effects, and descriptive exposure patterns; discuss modifiers and seasonality","adapt","The three evidence levels should be made explicit, but the manuscript will not imply that the present exposure-characterization study measured health outcomes or add unsupported predictors","open; evidence review and prose revision required","Introduction; Discussion; cover letter","manuscript/reviewer_comments_NatMed.rtf, Reviewer 1 comment 3"
NM-R1-04,"Nature Medicine Reviewer 1","Novelty","Separate replication, improved quantification, and genuinely novel methodological or variance-decomposition contributions","adopt","This yields a more credible contribution statement and avoids presenting expected outdoor/indoor contrasts as conceptually novel","open; implement after claim audit","Abstract; Introduction final paragraph; Results; Discussion; cover letter","manuscript/reviewer_comments_NatMed.rtf, Reviewer 1 comment 4"
NM-R1-05,"Nature Medicine Reviewer 1","Uneven near-eye coverage and placement","Report model-specific participants, days, observations, sites, placement, missingness, exclusions; run paired, sparse-site, and estimate-comparison sensitivities; discuss selection","adopt","Uneven placement availability directly affects site and latitude interpretations and is already an approved audit priority","open; placement decision approved, analyses not yet rebuilt","sample-flow outputs; placement notebook; sensitivity battery; Results; Methods; Supplementary Information","manuscript/reviewer_comments_NatMed.rtf, Reviewer 1 first comment numbered 5; audit/decisions/placement_decision.md"
NM-R1-06,"Nature Medicine Reviewer 1","Light-source and activity categories","Report all tested categories, estimates, intervals, and non-significant contrasts, including sparse-category handling","adopt","Complete category reporting is required to interpret H03 and H04 and prevent selective emphasis","open; implement during H03-H04 rebuild","H03 and H04 notebooks; editable tables; source-data CSVs; Supplementary Information","manuscript/reviewer_comments_NatMed.rtf, Reviewer 1 second comment numbered 5"
NM-R1-07,"Nature Medicine Reviewer 1","Exposome framing","Discuss interaction with social, occupational, environmental, behavioural, infrastructure, and built-environment factors","adapt","The discussion should acknowledge these pathways and unmeasured confounders, but it should not claim they were measured or causally identified","open; prose revision after argument audit","Introduction; Discussion; limitations","manuscript/reviewer_comments_NatMed.rtf, Reviewer 1 comment 6"
NM-R1-08,"Nature Medicine Reviewer 1","Additional occupational or socioeconomic analyses","Add selected analyses if suitable variables are available; otherwise identify unmeasured factors","adapt","The manuscript will explicitly identify unmeasured factors and use only verified prespecified or approved variables; it will not add poorly supported covariates merely to strengthen exposome framing","open; inventory variables before final limitation wording","Methods; Discussion; deviation register if any new analysis is proposed","manuscript/reviewer_comments_NatMed.rtf, Reviewer 1 comment 6"
NM-R1-09,"Nature Medicine Reviewer 1","Composite/global exposome index","Consider exploratory global indices combining level, timing, duration, spectrum, and variability","reject for current submission; identify as future work","A new composite would require construct definition, validation, weighting, missingness rules, and multiplicity decisions not supplied by the preregistration or current evidence; it would expand rather than repair the analysis","open only for future-direction wording","Discussion future research only","manuscript/reviewer_comments_NatMed.rtf, Reviewer 1 comment 6"
NM-R2-01,"Nature Medicine Reviewer 2","Effective primary sample size","Make the smaller and uneven near-eye sample explicit and qualify the robustness of multi-country ocular claims","adopt","Headline totals must not obscure the actual sample entering each primary model","open; sample-flow reconciliation required","Abstract; Results; Methods; every principal model table; Reporting Summary","manuscript/reviewer_comments_NatMed.rtf, Reviewer 2 comment 1"
NM-R2-02,"Nature Medicine Reviewer 2","Seasonal and cross-site heterogeneity","Address whether photoperiod adequately captures weather, temperature, cloud cover, routines, holidays, and outdoor behaviour","adapt","Collection-period and photoperiod limitations, confounding, and site influence will be assessed and discussed; temperature will not be introduced because the available data do not support it","open; audit collection periods and run only approved influence checks","H01 H02 H07 notebooks; sensitivity battery; Methods; Discussion","manuscript/reviewer_comments_NatMed.rtf, Reviewer 2 comment 2"
NM-R2-03,"Nature Medicine Reviewer 2","Power, heterogeneity, and multiple analyses","Address limited support for site-specific effects and interactions and the possibility of chance, model specification, or confounding","adopt","Complete sample flow, multiplicity repair, diagnostics, influence checks, sparse-cell reporting, intervals, and calibrated claims are necessary; unsupported precision or robustness claims will be removed","open; analysis rebuild required","all H01-H11 notebooks; sensitivity battery; Results; Discussion; Reporting Summary","manuscript/reviewer_comments_NatMed.rtf, Reviewer 2 comment 3"
NM-R2-04,"Nature Medicine Reviewer 2","Absence of a health outcome and journal fit","Recognize that the work is exposure characterization rather than clinical/translational outcome research and consider a more suitable journal","adapt","The paper is being retargeted to Nature Health as environmental-health measurement and exposure characterization; it will state plainly that no health outcome was tested and will avoid causal, clinical, or intervention-effect claims","open; central framing requirement","Title; Abstract; Introduction; Discussion; cover letter; fit assessment","manuscript/reviewer_comments_NatMed.rtf, Reviewer 2 comment 4"
