change_id,date,status,category,files,description,rationale,verification,result_effect,decision_id
CHG-001,2026-07-29,verified,audit,"audit/baseline/*; audit/evidence/*; audit/journal/*; audit/ledgers/*","Captured the pre-repair commit, hashes, render DAG, journal requirements, preregistration contracts, external evidence, and reviewer dispositions","Establish an immutable comparison and decision record before analytical source changes","CSV parsing, SHA-256 manifests, and source-locator checks passed","None; structural baseline only",""
CHG-002,2026-07-30,in_progress,environment,"renv/library; .renvignore; scripts/environment/*; tests/test_environment_smoke.R; tests/test_environment_audit.R; tests/test_renv_status_timeout.R; audit/environment/*; audit/ledgers/software_versions.csv","Restored the project library under R 4.6.1 retained LightLogR 0.10.3 documented Matrix/sf compatibility versions installed the verified Shiny-parameter see and DHARMa closures and replaced unbounded status polling with deterministic reconciliation plus a timeout-controlled final status runner","Make clean execution and model diagnostics possible after the R upgrade without a blanket package update while preventing another unbounded renv::status process","Warnings-as-errors package diagnostics pass; deterministic dependency/lock/library reconciliation finishes in 2.024 seconds with no missing required or locked package; the child-process timeout retains output and terminates cleanly; final snapshot and one bounded post-snapshot status remain gated","No scientific result effect established; R Matrix sf see and DHARMa changes require confirmation through all clean model reruns",""
CHG-003,2026-07-30,verified,input_provenance,"config/site_sources.csv; scripts/pipeline/import_sources.R; audit/baseline/pinned_source_hashes.csv","Pinned 35 source files across nine site commits with DOI, URL, acquisition metadata, and SHA-256; identified and retained regular 1-second, 10-second, and 60-second participant streams","Prevent mutable-main drift and make the clean input set and epoch schedule auditable","All 35 files downloaded, hashed, uniquely keyed, and matched to the expected R object; full stream epoch audit passed with two documented non-10-second exceptions","Input identity changed from package-main retrieval to the recorded fixed releases; scientific effect pending clean comparison","PREP-001"
CHG-004,2026-07-30,unit_verified,time_and_state,"scripts/pipeline/time_axes.R; scripts/pipeline/state_alignment.R; tests/run_pipeline_tests.R; data_preparation.qmd","Introduced true UTC and shared wall-clock axes, DST-fold provenance, diary-authoritative half-open sleep states, wear-provenance handling, and joint invalid-nonwear channel masking","Repair fall-back key collisions and make the intended state precedence explicit","Synthetic DST/state tests and a nine-site interval audit passed; active preparation source now preserves both raw channels and applies the approved joint non-wear mask","Potentially affects DST participant-days and paired MEDI/LIGHT metrics; quantified result comparison pending","TIME-001; TIME-002; TIME-003; STATE-001; STATE-002; STATE-003"
CHG-005,2026-07-30,in_progress,signal_validity,"scripts/pipeline/state_alignment.R; scripts/pipeline/build_import_alignment.R; scripts/pipeline/build_coverage_sample_flow.R; data_preparation.qmd; index.qmd; audit/decisions/saturation_boundary.md; audit/evidence/ActLumus_User_Manual_EN_2_1_0.pdf","Changed the retained ActLumus operating range to MEDI <100000 lx after native-epoch-to-minute aggregation while preserving raw values and flags; aligned active preparation code and manuscript prose without applying the boundary to LIGHT","Use the official manufacturer's reported 1–100000-lx operating interval together with the companion paper's strict <100000 implementation and the author's approved boundary decision","Integrated aggregation/state regression retains a minute mean below 100000 and rejects a mean exactly at 100000; canonical source has no active 120000-lx rule outside historical contract records; tracked rendered and frozen outputs remain scheduled for clean regeneration","The clean rebuilt artifacts invalidate 39 near-eye and 87 chest minutes at or above the operating boundary; downstream metric and model effects remain pending","SIGNAL-001"
CHG-006,2026-07-30,unit_verified,multiplicity,"scripts/pipeline/multiplicity.R; tests/run_pipeline_tests.R","Added vector-wide planned-family Benjamini-Hochberg adjustment with explicit handling of non-estimable tests","Scalar p.adjust calls do not implement vector-wide BH even when n is supplied","Regression tests distinguish scalar Bonferroni-equivalent values from vector-wide BH values","H1 and other affected adjusted p-values will change; model/result gate pending",""
CHG-007,2026-07-30,unit_verified,metric_support,"scripts/pipeline/aggregation_coverage.R; scripts/pipeline/reference_profiles.R; scripts/pipeline/time_support.R; tests/test_aggregation_coverage.R; tests/test_reference_profiles.R; tests/test_time_support.R","Implemented explicit minute aggregation, wall-clock coverage, fixed participant-balanced relevance profiles, and support-aware gap/censor/window/dose/MDER/IS/IV helpers","Preserve good participant-days while making metric-specific temporal support and failure reasons explicit","Standalone synthetic suites pass where complete; full clean-data reconciliation pending","Metric values and estimable denominators may change; major-result gate pending","METRIC-002; PREP-001"
CHG-008,2026-07-30,structurally_verified,quarto_architecture,"_quarto-nathealth.yml; _quarto-website.yml; notebooks/*; supplementary_information.qmd","Added the canonical preparation/hypothesis/sensitivity/assembly notebook tree and an opt-in Nature Health build profile without removing the current website workflow","Replace global RData and invalid render-order dependencies with an explicit artifact DAG","Quarto inspect passed for the 21 new QMD files; analytical chunks remain staged by dependency","No scientific result yet; full render pending",""
CHG-009,2026-07-30,unit_verified,metric_contract,"audit/decisions/metric_validity.md; audit/ledgers/metric_validity.csv","Reconciled the IS and IV decision text with the later approved one-hour support specification: at least three eligible days, 20 repeated clock hours for IS, and 24 true adjacent pairs across three days for IV; fall-back is collapsed only for IS and preserved for IV","Prevent the canonical implementation from inheriting an obsolete 30-minute/two-day description that conflicted with the fixed implementation parameters","Machine-readable ledger parses with 20 unique metric IDs; the existing one-hour IS/IV regression suite passes, including DST fall-back behavior","No new result; this removes an internal audit-contract inconsistency before metric derivation","METRIC-001; METRIC-002"
CHG-010,2026-07-30,unit_verified,state_aggregation_order,"audit/decisions/input_source_selection.md; audit/findings/state_aggregation_order.md; audit/scripts/verify_state_aggregation_order.R","Reconciled the documented state/aggregation order with the canonical minute importer after verifying minute-start interval states against native-epoch modal states","Permit the lean native-epoch-to-minute calculation only when it is demonstrably equivalent to the established categorical aggregation on the pinned releases","All 6737 finite boundaries were audited; the only three non-minute boundaries were checked directly in both RISE placements with zero sleep Brown-state or wear mismatches","No numerical or sample effect for the pinned releases; future source changes automatically reopen the check","INPUT-001; PREP-001"
