deviation_id,date_recorded,scope,record_type,status,preregistered_or_expected,observed_or_approved,rationale_or_evidence,likely_consequence,source_locator,next_action
DEV-001,2026-07-29,"All hypotheses; placement","documented_deviation","approved","Chest data primary; repeat with glasses for robustness","Glasses data are primary for the ocular-exposure estimand; chest data are paired/common-sample complementary evidence","Near-eye placement better represents the chosen ocular construct; placement bias is metric-, site-, context-, participant-, and day-dependent","Changes the registered primary placement and requires transparent primary/complementary sample flow","_deviations.qmd:3; audit/decisions/placement_decision.md","Implement approved placement decision and retain explicit preregistration deviation"
DEV-002,2026-07-29,"Display reporting","documented_reporting_change","documented","No registered display restriction","Site-specific traces were removed to meet an earlier journal display limit; site traces remained in Figure 1","Documented journal-format adaptation","Reporting only; reconsider displays for Nature Health after results stabilize","_deviations.qmd:4","Reassess display set against Nature Health six-item limit"
DEV-003,2026-07-29,"Inclusion criteria","documented_deviation","open_reaudit","Protocol age 18-65 and employment at least 80%","One participant aged 68, two unemployed participants, and seven marginally employed participants were retained","Recruitment constraints; current deviation file states exclusion did not meaningfully change results","May alter target population and sensitivity sample; exact affected primary sample must be reconciled","_deviations.qmd:5","Reproduce the stated exclusion sensitivity in R and report exact flow and result differences"
DEV-004,2026-07-29,"Site sample size and placement availability","documented_sample_deviation","open_reaudit","Target 15-30 participants per site using all eligible repository participants","Munich had n=10; Costa Rica had n=39 overall but n=6 with glasses; Tübingen had n=26 glasses-only","Site recruitment and device availability differed","Creates uneven placement and site support and limits site/latitude inference","_deviations.qmd:6","Reconcile counts at each pipeline stage and report site-by-placement sample flow"
DEV-005,2026-07-29,"Preprocessing; non-wear","documented_deviation","open_reaudit","Remove non-wear periods identified by device logs","Only logged non-wear outside reported sleep windows was set to missing","Sleep-period logger values were intentionally retained as sleep-environment measurements","Changes the measured construct during sleep and must not be described as worn ocular exposure","_deviations.qmd:10; audit/decisions/placement_decision.md","Verify state precedence and label sleep values as bedside sleep-environment exposure"
DEV-006,2026-07-29,"Preprocessing; sleep windows","documented_deviation","open_reaudit","Registered rule refers to sleep but does not define attempted-sleep versus estimated-onset boundary","Attempted-sleep time was used instead of estimated sleep onset for sleep-environment analyses","Aligns the period with intention to sleep","Changes pre-sleep and sleep recommendation denominators","_deviations.qmd:11","Verify against protocol, quantify affected observations, and state the adopted boundary"
DEV-007,2026-07-29,"Metric definition; darkest level window","documented_deviation","approved","Geometric mean melanopic EDI during the 5 darkest hours","Retain geometric mean during the 10 darkest hours (L10 mean); no L5 level calculation","A 10-hour window aligns with the registered darkest-10-hour timing metric and avoids selecting an arbitrary 5-hour subset","Changes one registered level metric but not the separately registered midpoint of the darkest 10 hours","_deviations.qmd:12; audit/evidence/preregistration_contract.md","Implement only L10 mean, omit L5 calculation, and verify 10-hour window coverage and gaps"
DEV-008,2026-07-29,"Metric definition; timing above 250 lx","documented_deviation","open_reaudit","Midpoint of the longest period above 250 lx","Mean timing of exposure above 250 lx","The mean timing does not reduce the day to one event","Changes a registered timing estimand and multiplicity member","_deviations.qmd:13","Verify circular definition, gap handling, and family membership before implementation"
DEV-009,2026-07-29,"H01 model","documented_deviation","open_reaudit","Metric ~ Site + Latitude + participant-within-site random intercept; photoperiod for day/night duration metrics","Site and latitude were fit in separate models and compared by AIC","Each site has one latitude, making joint site and latitude effects non-identifiable in the available design","Changes the registered H01 test and interpretation of site versus latitude","_deviations.qmd:17","Specify an identifiable estimand and valid model-comparison method before rerunning H01"
DEV-010,2026-07-29,"H02 smooth basis","documented_deviation","open_reaudit","Cyclic site-specific time smooth with bs='cc'","An sz basis was used for the time-by-site smooth","Documented response to identifiability problems","Boundary continuity is no longer enforced as registered","_deviations.qmd:18","Check midnight continuity, identifiability, and sensitivity to the registered basis"
DEV-011,2026-07-29,"H02 model structure","documented_deviation","open_reaudit","Registered formula does not state a separate overall time smooth","An overall time main-effect smooth was added so site smooths represent deviations","Improves interpretation and identifiability of factor-smooth deviations","Changes model parameterization and variance decomposition","_deviations.qmd:19","Define the variance estimand and verify it is invariant to the chosen parameterization"
DEV-012,2026-07-29,"H02 outcome and epoch","documented_deviation","open_reaudit","Hourly geometric mean melanopic EDI","Arithmetic mean melanopic EDI in 30-minute bins on a transformed modelling scale","Documented diagnostic preference for model fit and shorter aggregation to limit arithmetic-mean bias","Changes the registered outcome, epoch, denominator, and dependence structure","_deviations.qmd:20","Evaluate bin-level coverage, temporal dependence, and result differences against the registered outcome"
DEV-013,2026-07-29,"H03-H04 site structure","documented_deviation","open_reaudit","Predictor random slope by site","Site was represented as a fixed effect","Documented model-stability decision","Changes population-level versus site-specific interpretation","_deviations.qmd:24","Reassess identifiability, sparse categories, site interactions, and practical contrasts"
DEV-014,2026-07-29,"H03-H04 error distribution","documented_deviation","open_reaudit","Registered as LMM without a non-Gaussian family specified","GLMMs with a Tweedie distribution were used","Documented claim of better model performance","Changes conditional mean, scale, and likelihood-based inference","_deviations.qmd:25","Verify zero support, diagnostics, estimates on practical scale, and common-sample comparison"
DEV-015,2026-07-29,"H06 outcome","documented_deviation","open_reaudit","Daily light-exposure metrics","Hourly geometric mean melanopic EDI","The candidate metric-by-predictor model set was judged insufficiently parsimonious and interpretable","Changes H06 outcome, unit of analysis, dependence structure, and hypothesis wording","_deviations.qmd:26","Treat as a major estimand deviation; specify approved H06 estimand before rerun"
DEV-016,2026-07-29,"H07 predictors and outcome selection","documented_deviation","open_reaudit","Absolute-latitude-by-photoperiod tensor applied to all level, duration, and exposure-history metrics","Only photoperiod was modelled and only parameter combinations supported in H02 were retained","Joint latitude-photoperiod support was sparse","Changes both predictor space and outcome selection using data-dependent upstream results","_deviations.qmd:27","Define a defensible plateau estimand and whether H07 is confirmatory, adapted, or exploratory"
DOC-001,2026-07-29,"H08-H11","documentation_gap","in_progress","All deviations must be explicitly documented and labelled exploratory","The H05-H08 and H09-H11 migration maps now identify the implemented H08-H11 differences, but _deviations.qmd still ends after H07 and has no detailed H08-H11 section","Direct inspection of _deviations.qmd and completed canonical migration maps","The internal audit can trace H08-H11 changes, but the author-facing deviation narrative remains incomplete","_deviations.qmd:27; audit/hypotheses/H05-H08_migration_map.md:1287-1593; audit/hypotheses/H09-H11_migration_map.md:280-1473","After the unresolved hypothesis gates are decided, reconcile the verified entries into _deviations.qmd and the final Supplementary Information"
IMP-001,2026-07-29,"H01 H05 H08 H09 H10 multiplicity","newly_discovered_implementation_discrepancy","open","FDR correction within each hypothesis family using the declared vector","p.adjust was applied to scalar p-values with n specified in multiple families, producing Bonferroni-like rather than vector-wide BH values","R audit reproduced the scalar behavior and confirmed result changes in H01","Adjusted p-values and substantive conclusions can change","scripts/fitting.R:45-54; RQ2.qmd:1669-1676; audit finding","Obtain gate approval, declare each full family, repair vector adjustment, rerun, and reopen affected claims"
