finding_id,date,status,severity,scope,expected,observed,evidence_locator,potential_impact,decision_id,affected_units,resolution,reopening_condition
FIND-001,2026-07-29,repair_unit_verified,high,"Timestamp keys and clock alignment","Absolute instants remain unique while sites share a comparable local-clock coordinate","The prior flattening strategy used forced UTC wall time as the only timestamp and collided during DST fall-back","audit/findings/timestamp_dst_fallback.md; tests/run_pipeline_tests.R","Can merge repeated real hours or invalidate keys and temporal adjacency","TIME-001; TIME-002; TIME-003","Preparation; H02; H06; H09; H11; all elapsed-time metrics","Retain true datetime_utc plus derived datetime_wall and collapse duplicates only for declared wall-clock analyses","Any upstream timestamp transformation or changed DST handling"
FIND-002,2026-07-29,repair_unit_verified,high,"Sleep and wear-state alignment","Diary sleep should define the intended bedside interval; logged off outside diary sleep should invalidate both analytical channels","The intended diary precedence was present conceptually but the active preparation masked MEDI only and left LIGHT available during true non-wear","audit/findings/state_precedence_and_channel_mask.md; tests/run_pipeline_tests.R","Biases paired MEDI/LIGHT metrics and obscures the hybrid wake/sleep construct","STATE-001; STATE-002; STATE-003","Preparation; MDER; state-specific metrics; all 24-hour metrics","Use half-open diary-authoritative intervals; treat wear sleep as provenance; jointly mask MEDI/LIGHT only for off outside diary sleep; retain raw channels","Any change to sleep-window or wear-state precedence"
FIND-003,2026-07-30,repair_unit_verified,critical,"Native-epoch aggregation","Each complete regular source stream should contribute a valid one-minute mean using its actual epoch","Two valid participant streams use 1-second and 60-second epochs rather than the dominant 10-second epoch","audit/findings/heterogeneous_source_epochs.md; tests/test_aggregation_coverage.R","A universal six-row rule would reject one complete stream and fail on the other","PREP-001","Preparation; all downstream units","Infer and validate the native epoch per site-participant-placement stream and require its complete expected schedule","Any source-version or epoch-schedule change"
FIND-004,2026-07-30,repair_unit_verified,high,"Melanopic EDI operating range","The analytical boundary should match the manufacturer's reported valid operating range","The preregistered/current threshold was 120000 lx whereas the companion placement paper reports valid melanopic EDI below 100000 lx","audit/decisions/saturation_boundary.md; artifacts/02_aligned/saturation_audit.csv; tests/test_aggregation_coverage.R","The clean rebuild invalidates 39 near-eye and 87 chest minutes and can affect their participant-day metrics and models","SIGNAL-001","Preparation; all MEDI-derived metrics and hypotheses","After native-epoch-to-minute aggregation preserve MEDI_raw and invalidate MEDI >=100000 without independently thresholding LIGHT","Verified manufacturer or calibration evidence supporting another boundary"
FIND-005,2026-07-29,repair_unit_verified,critical,"Within-hypothesis multiplicity","Benjamini-Hochberg adjustment must be applied once to the complete declared p-value vector","Calling p.adjust separately for each scalar with n equal to family size produces Bonferroni-equivalent values rather than vector-wide BH ranks","audit/evidence/preregistration_contract.md; scripts/pipeline/multiplicity.R; tests/run_pipeline_tests.R","Adjusted p-values and inference can change across H01 and other multiplicity families","","H01; H05; H08; H09; H10","Assemble each complete family first and store raw values family IDs sizes ranks and vector-wide BH values","Any change to a family definition or estimability pattern"
FIND-006,2026-07-29,repair_unit_verified,high,"Metric temporal support and gap handling","Metric values should preserve elapsed time gaps state domains boundaries and denominator support without discarding unrelated valid days","Several current calculations use na.rm behavior that can compress gaps bridge continuous periods or return values without metric-specific support diagnostics","audit/decisions/metric_validity.md; audit/decisions/metric_implementation_parameters.md; tests/test_time_support.R","Can bias dose timing window duration dynamics and MDER values or overstate estimable denominators","METRIC-001; METRIC-002","Preparation; H01-H11","Use fixed relevance profiles and metric-specific support/censor/gap rules with reason-coded missing values","Any change to coverage rules metric definitions profile construction or support thresholds"
FIND-007,2026-07-30,repair_unit_verified,medium,"State assignment relative to minute aggregation","Minute-start state assignment must equal the modal native-epoch state if aggregation precedes interval attachment","Of 6737 finite state boundaries three RISE attempted-sleep times were not minute-aligned; direct checks found zero sleep Brown-state or wear mismatches across the affected near-eye and chest participant-minutes","audit/findings/state_aggregation_order.md; audit/scripts/verify_state_aggregation_order.R","A mismatch could assign a boundary minute to the wrong wake pre-sleep sleep or non-wear domain","INPUT-001; PREP-001","Preparation; state-specific metrics; all hybrid-day metrics","Retain lean minute-level interval attachment only for the verified pinned releases; rerun the modal-equivalence audit after any source change","Any changed pinned sleep wear or light source or any nonzero mismatch"
FIND-008,2026-07-30,repair_unit_verified,high,"State intervals on the complete metric grid","Known diary and wear intervals should determine state denominators independently of light-source presence, while genuinely unresolved diary spans remain unknown","Preparation 04 originally inherited state/context fields from coverage rows after rebuilding the true-minute grid and therefore lacked an independently verified interval projection for source-absent minutes","audit/findings/state_interval_projection.md; tests/test_build_metric_derivation.R","Can undercount a known state denominator or treat an unbounded state domain as complete, changing duration support and estimability","STATE-001; STATE-002; STATE-004; METRIC-002","Preparation 04; wake, pre-sleep, and sleep duration metrics","Load/checksum canonical interval artifacts, project with true-UTC half-open bounds before light values, assert exact source-present agreement, and return incomplete_state_domain without dropping the day","Any changed state source, interval preparation, time basis, day boundary, state precedence, or metric-domain rule"
FIND-009,2026-07-30,repair_implemented,high,"Binary artifact provenance","SHA-256 fields must identify the exact bytes of every source and generated artifact","The artifact helper hashed binary files through an unopened text-mode connection; all 101 binary artifacts had stable but non-standard pseudo-hashes while all 60 CSV file hashes were byte-correct","audit/findings/binary_artifact_hashing.md; audit/reconciliation/pinned_download_hash_reconciliation.csv; tests/test_paths_io.R","Invalidates external checksum verification and leaves stale binary-input provenance even though scientific values are unchanged","","Preparation 01-04; all later artifact manifests and reproducibility records","Hash through an explicitly closed rb connection, reconcile cached sources without downloading, and regenerate downstream artifacts in dependency order","Any unexplained digest state, stale embedded binary hash, changed cached byte, or scientific-value mismatch after regeneration"
FIND-010,2026-07-30,repair_verified,low,"Preparation 02 daily eligible-hours audit field","day_eligible_hours should count distinct eligible clock hours from 0 to 24","The builder summed an hourly flag repeated on the 1440-row minute grid and therefore stored values exactly 60 times too large","audit/findings/day_eligible_hours_unit.md; scripts/pipeline/verify_coverage_artifacts.R; tests/test_verify_coverage_artifacts.R","Could mislead sample-flow auditing but did not affect hourly or daily eligibility flags signal channels participant-day inclusion metrics or results","","Preparation 02 audit outputs","Count distinct eligible clock-hour labels and independently reconstruct every hourly and daily coverage field after the full rebuild","Any change to the wall-clock grid hourly join or coverage-summary schema"
