hypothesis_id,submitted_analysis_source,submitted_result_source,audited_notebook,implementation_comparison_status,result_comparison_status,claim_comparison_status,preregistration_comparison_status,data_sensitivity_definition_status,data_sensitivity_run_status,data_sensitivity_verification_status,workflow_status,verification_status,gate_status,notes
H01,"RQ1.qmd; RQ1_chest.qmd; audit/hypotheses/H01-H04_migration_map.md","index.qmd; submitted RQ1 tables and model artifacts","notebooks/hypotheses/H01.qmd","complete_verified","complete_verified","complete_qualified","complete_documented_deviations","defined","complete","independent_pass","closed","independent_pass","closed","Authoritative handoff audit/handoffs/H01_worker_handoff.md and decision H01-011. The submitted and audited implementations, model-family support decisions, claims, preregistration relation, gap-timing-unaware sensitivity, diagnostics, placement roles, figures, and bounded provenance companion are reconciled; the primary support counts are 8 site, 12 photoperiod, 6 latitude, and 8 adequacy metrics."
H02,"RQ1.qmd; RQ1_chest.qmd; audit/hypotheses/H01-H04_migration_map.md","index.qmd; docs/RQ1.html; docs/RQ1_chest.html; submitted RQ1 figures and model artifacts","notebooks/hypotheses/H02.qmd","complete_verified","complete_verified","complete_qualified","complete_documented_deviations","defined","complete","independent_pass","closed","independent_pass","closed","Authoritative handoff audit/handoffs/H02_worker_handoff.md; decision H02-MODEL-001; commit 61bc807. REPORT-008 through REPORT-011 are applied. The adjacent result and preparation pages and matched-placement display are covered by independently verified 57-item preparation and 192-item worker manifests. Reopen only for changed accepted inputs response temporal specification hierarchy placement role fitted sample or diagnostic failure."
H03,"RQ1.qmd; RQ1_chest.qmd; audit/hypotheses/H01-H04_migration_map.md","index.qmd; submitted H03 tables and model artifacts","notebooks/hypotheses/H03.qmd","complete_verified","complete_verified","complete_qualified","complete_documented_deviations","defined","complete","producer_pass","closed","producer_pass","closed","AUDIT-004 and audit/handoffs/H03_worker_handoff.md reconcile the submitted category implementation with the accepted H03 analysis, results, claims, deviations, diagnostics, placement roles, and gap-timing-unaware sensitivity. The preparation companion is complete; REPORT-017 remains display-only integration."
H04,"RQ1.qmd; RQ1_chest.qmd; audit/hypotheses/H01-H04_migration_map.md","index.qmd; submitted H04 tables and model artifacts","notebooks/hypotheses/H04.qmd","complete_verified","complete_verified","complete_qualified","complete_documented_deviations","defined","complete","producer_pass","closed","producer_pass","closed","AUDIT-004 and audit/handoffs/H04_worker_handoff.md reconcile the submitted activity implementation with the accepted long-format, multi-selection-aware activity analysis, its results and claims, the prepared-data sensitivity, diagnostics, placement roles, and documented deviations."
H05,"RQ2.qmd; RQ2_chest.qmd; audit/hypotheses/H05-H08_migration_map.md","index.qmd; submitted RQ2 tables and model artifacts","notebooks/hypotheses/H05.qmd","complete_verified","complete_verified","complete_qualified","complete_documented_deviations","defined","complete","independent_pass","closed","independent_pass","closed","Authoritative handoffs audit/handoffs/H05_stage3_handoff.md and audit/handoffs/H05_stage4_handoff.md; decisions H05-003 and H05-004. The submitted and approved implementations results claims preregistration relation repaired gap-timing-unaware sensitivity diagnostics and figures are reconciled. Zero of 68 associations is retained in all three complete families. CHG-103 preserves every primary and non-MDER fit; 27 non-MDER adjusted p-values and 26 ranks change only through the corrected MDER slots in the complete H05-F3 vector."
H06,"RQ2.qmd; RQ2_chest.qmd; audit/hypotheses/H05-H08_migration_map.md","index.qmd; submitted H06 tables and model artifacts","notebooks/hypotheses/H06.qmd","complete_verified","complete_verified","complete_qualified","complete_approved_deviation","defined","complete","producer_pass","closed","producer_pass","closed","H06-007 retains the complete hourly H06 analysis as the main result. Under H06-D-016/CHG-135 and H06-D-017/CHG-136 the author accepted the complementary participant-day H06_daily result and bounded preparation companion with all AR response-family influence and HC3 interaction limitations retained. The scientific workflow is closed; harmonization and website integration remain display-only follow-up."
H07,"RQ2.qmd; RQ2_chest.qmd; audit/hypotheses/H05-H08_migration_map.md","index.qmd; submitted RQ2 figures and model artifacts","notebooks/hypotheses/H07.qmd","complete_verified","complete_verified","complete_qualified","complete_documented_deviations","defined","complete","producer_pass","closed","producer_pass","closed","AUDIT-004, H07-005, and audit/handoffs/H07_worker_handoff.md reconcile the submitted ceiling-effect implementation with the accepted plateau analysis, results, claims, diagnostics, placement roles, prepared-data sensitivity, and documented deviations. Later METRIC-011 maintenance did not reopen the workflow."
H08,"RQ2.qmd; RQ2_chest.qmd; audit/hypotheses/H05-H08_migration_map.md","index.qmd; submitted H08 tables and model artifacts","notebooks/hypotheses/H08.qmd","complete_verified","complete_verified","complete_qualified","complete_documented_deviations","defined","complete","producer_pass","closed","producer_pass","closed","AUDIT-004 and audit/handoffs/H08_worker_handoff.md reconcile VLSQ-8 scoring, the submitted and accepted interaction handling, participant-level samples, results, claims, diagnostics, placement roles, prepared-data sensitivity, and documented deviations. METRIC-011 maintenance did not reopen the workflow."
H09,"RQ3.qmd; RQ3_chest.qmd; audit/hypotheses/H09-H11_migration_map.md","index.qmd; submitted RQ3 tables and model artifacts","notebooks/hypotheses/H09.qmd","complete_verified","complete_verified","complete_qualified","complete_documented_deviations","defined","complete","producer_pass","closed","producer_pass","closed","AUDIT-004, H09-001 through H09-003, and audit/handoffs/H09_worker_handoff.md reconcile the chronotype implementations, results, claims, diagnostics, placement roles, and sensitivities. The registered longest-period gap-timing-unaware comparison is explicitly non-estimable and does not leave the workflow open."
H10,"RQ3.qmd; RQ3_chest.qmd; audit/hypotheses/H09-H11_migration_map.md","index.qmd; submitted RQ3 tables and model artifacts","notebooks/hypotheses/H10.qmd","complete_verified","complete_verified","complete_qualified","complete_documented_deviations","defined","complete","producer_pass","closed","producer_pass","closed","AUDIT-004 and audit/handoffs/H10_worker_handoff.md reconcile the age and sex or gender model families, sparse-cell handling, accepted results and claims, diagnostics, placement roles, prepared-data sensitivity, and deviations. The bounded METRIC-011 reseal preserved all non-L10 outputs."
H11,"RQ3.qmd; RQ3_chest.qmd; audit/hypotheses/H09-H11_migration_map.md","index.qmd; submitted RQ3 figures and model artifacts","notebooks/hypotheses/H11.qmd","complete_verified","complete_verified","complete_qualified","complete_documented_deviations","defined","complete","producer_pass","closed","producer_pass","closed","AUDIT-004, CHG-129, and audit/handoffs/H11_worker_handoff.md reconcile the temporal implementation inherited from H02, accepted robust inference, results, claims, activity-context sensitivity, diagnostics, placement roles, and documented deviations. The historical hourly specification is superseded provenance, not unfinished work."
