decision_id,date,status,scope,decision,rationale,evidence_locator,implementation_effect,reopening_condition
PLACEMENT-001,2026-07-29,approved,"Primary placement and estimand","Reject simple pooling of glasses and chest observations with only a fixed position term","Placement effects vary by metric, site, context, participant, and participant-day; availability is site-confounded","audit/decisions/placement_decision.md","Use near-eye measurements for the primary ocular-exposure analysis","Reopen only if all equivalence, identifiability, pairing, missingness, interaction, and common-sample criteria in the decision record are met"
PLACEMENT-002,2026-07-29,approved,"Primary measurement construct","Retain near-eye measurements as primary","Near-eye placement most directly represents the intended ocular-exposure construct","audit/decisions/placement_decision.md","Primary estimates and claims use glasses-position data","Reopen only as a major estimand change"
PLACEMENT-003,2026-07-29,approved,"Complementary placement analysis","Use chest measurements as paired/common-sample complementary evidence","Chest observations do not provide additional independent ocular observations and placement availability is uneven across sites","audit/decisions/placement_decision.md","Report separate complementary sample flow and preserve participant and participant-day pairing","Reopen only with an approved change to the primary construct or placement model"
PLACEMENT-004,2026-07-29,approved,"Placement calibration","Do not apply a universal chest-to-glasses correction","The companion manuscript reports metric- and context-dependent placement bias","audit/evidence/placement_paper_reading_notes.md","No universal correction, latent calibration, or measurement-error model","A new calibration model requires a separate major-change approval and independent validation"
PLACEMENT-005,2026-07-29,approved,"Metric set","Retain L10 subject to metric-validity checks","Timing metrics were relatively robust to placement, but robustness is not equivalence","audit/evidence/placement_paper_reading_notes.md","Keep L10 eligible for primary or complementary analyses only after coverage and gap validity pass","Reopen if the metric-validity audit classifies L10 as modify, exclude, or undetermined"
PLACEMENT-006,2026-07-29,approved,"Sleep-period interpretation","Describe sleep-period measurements as bedside sleep-environment exposure","Devices are placed by the bedside during sleep rather than worn at the nominal glasses or chest position","audit/evidence/placement_paper_reading_notes.md","Do not interpret sleep-period placement contrasts as ocular-versus-chest wearing-position bias","Reopen only if verified protocol evidence establishes a different sleep placement"
PLACEMENT-007,2026-07-29,approved,"External evidence interpretation","Treat companion-paper placement p-values as exploratory and unadjusted","The companion analysis reports nominal tests without multiplicity adjustment","audit/evidence/placement_paper_reading_notes.md","Do not call the nominal counts confirmatory or import them into this paper's multiplicity families","Reopen only if a later public version provides a prespecified adjusted confirmatory analysis"
PLACEMENT-008,2026-07-29,verified_at_last_check,"Related-work citation status","Do not use a numbered placeholder citation while no public preprint is available","No public preprint was found at the last check","audit/evidence/placement_paper_reading_notes.md","Disclose the submitted/unpublished related manuscript in the cover letter","Recheck immediately before final staging and replace with a verified public citation if available"
TIME-001,2026-07-30,approved,"Canonical time axes","Retain both true datetime_utc and a shared datetime_wall local-clock coordinate","Cross-site local-clock cutoffs need one common clock representation, while elapsed-time calculations require preserved absolute instants","audit/findings/timestamp_dst_fallback.md","Use datetime_wall only for clock alignment and datetime_utc for keys, ordering, durations, gaps, and adjacency","Reopen only if a later source proves the input timestamps do not represent site-local instants"
TIME-002,2026-07-30,approved,"DST fall-back in clock-aligned analyses","Average duplicate fall-back observations within each wall-clock minute and record fold provenance","This keeps all sites on a common 24-hour clock grid without double-weighting the repeated local hour in profiles, cutoffs, or clock-aligned models","audit/findings/timestamp_dst_fallback.md","Clock-aligned artifacts include source-interval counts, distinct instants, offsets, and a DST-fold flag","Reopen if a target model explicitly estimates the two fall-back occurrences separately"
TIME-003,2026-07-30,approved,"DST fall-back in elapsed-time analyses","Retain both real fall-back hours for dose, durations, bouts, gaps, and sequential metrics","Averaging the repeated hour would erase real exposure time and break physical adjacency","audit/findings/timestamp_dst_fallback.md","Elapsed-time metrics use datetime_utc and actual interval durations; datetime_wall is not an ordering key","Reopen only as an explicit estimand change"
STATE-001,2026-07-30,approved,"Sleep-window authority","Use the sleep diary sleepprep-to-wake interval as the authoritative sleep and bedside-environment window","Wear-log sleep/off declarations were inconsistent and incomplete; the wear log is not a suitable alternative sleep detector","audit/findings/state_precedence_and_channel_mask.md","Diary Brown states define wake, pre-sleep, and sleep windows; wear='sleep' is provenance only","Reopen only with validated evidence that the diary intervals are wrong or a separately approved sleep-state estimand"
STATE-002,2026-07-30,approved,"True non-wear","Treat only wear='off' outside diary sleep as invalid non-wear","The wear log is useful for declared real non-wear but not for determining sleep; off during diary sleep is consistent with bedside placement","audit/findings/state_precedence_and_channel_mask.md","Retain off during diary sleep, missing wear, and site_leave; mask off outside sleep","Reopen only if protocol evidence changes the meaning of an observed wear state"
STATE-003,2026-07-30,approved,"Analytical light-channel masking","Apply invalid-nonwear masking consistently to analytical MEDI and LIGHT while preserving raw channels","Leaving finite LIGHT where MEDI is masked creates incompatible denominators for photopic and paired-channel metrics","audit/findings/state_precedence_and_channel_mask.md","Create immutable raw channel columns, analytical channel columns, validity flags, and exclusion reasons","Reopen only as an explicit channel-specific estimand with separate support accounting"
SIGNAL-001,2026-07-30,approved,"ActLumus melanopic EDI operating range","Retain only MEDI values below 100000 lx and set values >=100000 lx to missing","The official ActLumus manual reports a 1–100000-lx light-sensor operating interval; the companion dosimeter-placement manuscript uses <100000 lx melEDI, and the author approved that conservative strict endpoint","audit/decisions/saturation_boundary.md; audit/evidence/ActLumus_manual_targeted_search.md","Apply the rule after one-minute aggregation, preserve raw values and an operating-boundary flag, and report affected observations and result differences","Reopen only with verified manufacturer or calibration evidence supporting a different valid operating range"
COVERAGE-001,2026-07-30,approved,"Daily 80% participant-day eligibility denominator","Retain Rule A's fixed 1440-wall-minute whole-cycle denominator as primary; use Rule B's sleep-excluded daily denominator and Rule C's wake-aware hourly-plus-daily denominator as fixed sensitivity scenarios","Rule A operationalizes the intended hybrid 24-hour coverage question across worn waking and bedside diary-sleep measurements; the signed preregistration literally says to exclude sleep, so Rule A is disclosed as DEV-055 rather than called preregistration-faithful; sensitivity definitions were fixed before rebuilt hypothesis results were inspected","audit/decisions/daily_coverage_denominator.md; audit/findings/daily_coverage_denominator.md; audit/evidence/preregistration_contract.md:83-89","Leave canonical primary eligibility unchanged; add Rules B and C to the sensitivity battery with scenario-specific and common-sample flows and result comparisons","Reopen if either sensitivity materially changes an estimate or conclusion, reveals unexpected site/placement exclusion, or the intended hybrid-day construct or support definition changes"
METRIC-001,2026-07-29,approved,"Metric validity and admissibility","Retain the intentional hybrid 24-hour construct and the registered 50% hourly and 80% daily thresholds, but separate participant-day eligibility from metric-specific temporal, state, boundary, gap, and denominator support; unsupported metrics become reason-coded missing values and L5 is excluded","This preserves otherwise useful participant-days while preventing missingness, masked intervals, or compressed gaps from silently changing a metric's meaning; COVERAGE-001 fixes Rule A as primary and Rules B and C as sensitivities, with the literal preregistration conflict documented in DEV-055","audit/decisions/metric_validity.md; audit/ledgers/metric_validity.csv","Apply the row-specific retain, modify, or exclude decision before a metric enters any model and export metric-specific support and reason codes","Reopen if a clean rerun reveals construct failure, non-estimability, or a material result change requiring the agreed major gate"
METRIC-002,2026-07-30,approved,"Support-aware metric implementation parameters","Fix the base grid, strict endpoints, no-bridge rule, reference support, metric-specific relevance maps, dose guard, M10/L10 rules, censoring, and IS/IV requirements before inspecting rebuilt results","Predeclaring the parameters prevents result-driven support choices while preserving otherwise useful participant-days","audit/decisions/metric_implementation_parameters.md","Implement reason-coded metric-specific missingness and retain raw/corrected or support diagnostics where specified","Reopen if the clean rerun reveals a construct failure or a material result change requiring the agreed major gate"
INPUT-001,2026-07-29,approved,"Canonical light-data source and state-alignment order","Import the public native-epoch light datasets from immutable repository commits; aggregate complete 1-second 10-second or 60-second streams to one minute before attaching prepared sleep and wear intervals; do not substitute the separately published one-minute objects","The published one-minute objects differ in keys and values and are not computationally interchangeable; for the pinned releases the minute-start interval state exactly matches the modal native-epoch state in every directly affected minute","audit/decisions/input_source_selection.md; audit/findings/state_aggregation_order.md; audit/scripts/verify_state_aggregation_order.R; config/site_sources.csv","The canonical importer uses pinned native-epoch inputs and records their hashes; source aggregation and later interval projection remain explicit auditable steps and fail closed on source object schema or time-zone drift","Reopen if a pinned light sleep or wear source changes or if the native-epoch versus minute-start state-equivalence audit yields any mismatch"
