hypothesis_id,stage_1_audit_plan,stage_1_author_gate,stage_2_implementation_comparison,stage_2_author_gate,production_computation_required,production_computation_status,production_computation_author_gate,stage_3_reader_facing_report,stage_3_author_gate,stage_4_preparation_provenance,current_gate,notes
H01,complete_by_equivalent_records,approved,complete_verified,approved,yes,complete_verified,approved,complete_verified,approved,complete_verified,closed,"H01 follows H01-011: all four stages are complete; the author-approved Stage 3 report and bounded Stage 4 preparation-and-provenance companion, reciprocal website integration, manifests, focused tests, and final-size figure QA are independently verified"
H03,complete_verified,approved,complete_verified,approved,no,not_required,not_applicable,complete_verified,approved,complete_verified,closed,"AUDIT-004 records the accepted four-stage closure. H03-AUX-001 and CHG-139 add an author-approved descriptive participant random-intercept R-squared and Shapley assessment while retaining the distinct population-mean within/between-participant sensitivity and the population-mean primary model. No production resampling or stage reopening is required. REPORT-017 rendering and display QA remain non-scientific follow-up."
H04,complete_verified,approved,complete_verified,approved,no,not_required,not_applicable,complete_verified,approved,complete_verified,closed,"AUDIT-004 reconciles the authoritative H04 handoff: all four stages are complete, the accepted long-format activity analysis is closed, and no production bootstrap or simulation remains. REPORT-017 rendering and display QA remain non-scientific follow-up."
H05,complete_verified,approved,complete_verified,approved,no,not_required,not_applicable,complete_verified,approved,complete_verified,closed,"H05 follows H05-003 and H05-004: all four stages remain complete; the repaired gap-timing-unaware MDER reseal is verified under CHG-103; all three complete 68-test families retain zero associations; primary and non-MDER model fits remain frozen; reciprocal website integration manifests focused tests and final-size figure QA pass"
H06,complete_verified,approved,complete_verified,approved,no,not_required,not_applicable,complete_verified,approved,complete_verified,closed,"H06-007 retains the complete author-accepted hourly H06 workflow as the main analysis. H06-D-016/CHG-135 records author acceptance of the complementary H06_daily Stage 3 report and its Stage 4 transition. H06-D-017/CHG-136 records author acceptance of the bounded Stage 4 companion and closes H06_daily as completed complementary evidence. Harmonization and website integration remain display-only follow-up."
H07,complete_verified,approved,complete_verified,approved,no,not_required,not_applicable,complete_verified,approved,complete_verified,closed,"AUDIT-004 reconciles H07-005 and the authoritative handoff: all four stages are complete and closed, with no production resampling required. The bounded METRIC-011 maintenance did not reopen the accepted workflow."
H08,complete_verified,approved,complete_verified,approved,no,not_required,not_applicable,complete_verified,approved,complete_verified,closed,"AUDIT-004 reconciles the authoritative H08 handoff: all four stages and the bounded METRIC-011 maintenance are complete, with no outstanding production computation or scientific gate."
H09,complete_verified,approved,complete_verified,approved,no,not_required,not_applicable,complete_verified,approved,complete_verified,closed,"AUDIT-004 reconciles H09-001 through H09-003 and the authoritative handoff: all four stages are complete, no production resampling was required, and the non-estimable registered longest-period gap-timing-unaware sensitivity is an explicit qualification rather than an open gate."
H10,complete_verified,approved,complete_verified,approved,no,not_required,not_applicable,complete_verified,approved,complete_verified,closed,"AUDIT-004 reconciles the authoritative H10 handoff: Stages 1-4 are author approved and closed. The bounded METRIC-011 reseal changed only L10-dependent branches and did not reopen any non-L10 result or require production resampling."
H11,complete_verified,approved,complete_verified,approved,no,not_required,not_applicable,complete_verified,approved,complete_verified,closed,"AUDIT-004 reconciles the authoritative H11 handoff and CHG-129: Stage 3 is author accepted, Stage 4 is complete, scientific computation is closed, and the registered hourly specification is superseded provenance rather than an outstanding sensitivity."
