hypothesis_id,path,qmd_occurrences,html_occurrences
H01,audit/hypotheses/H01/H01_analysis_preparation.qmd,2,0
H02,audit/hypotheses/H02/H02_analysis_preparation.qmd,3,0
H03,audit/hypotheses/H03/H03_analysis_preparation.qmd,5,0
H04,audit/hypotheses/H04/H04_analysis_preparation.qmd,3,0
H05,audit/hypotheses/H05/H05_analysis_preparation.qmd,3,0
H06,audit/hypotheses/H06/H06_analysis_preparation.qmd,3,0
H07,audit/hypotheses/H07/H07_analysis_preparation.qmd,3,0
H08,audit/hypotheses/H08/H08_analysis_preparation.qmd,3,0
H09,audit/hypotheses/H09/H09_analysis_preparation.qmd,2,0
H10,audit/hypotheses/H10/H10_analysis_preparation.qmd,5,0
H11,audit/hypotheses/H11/H11_analysis_preparation.qmd,2,0
