frame_id,run_order,run_id,data_scenario_id,reader_scenario,placement,placement_label,sample_scenario,analytical_role,metric_id,instrument_id,availability,row_key_hash,participants,participant_days,observations,sites,derivation_hours,min_days_per_participant,median_days_per_participant,max_days_per_participant,primary_family_member,ar1_status,ar1_error,ar1_warnings,ar1_estimate,ar1_std_error,ar1_conf_low,ar1_conf_high,ar1_phi,ar1_effect_difference,ar1_interval_overlap,ar1_direction_stable,adjacent_residual_correlation,one_day_residual_correlation,temporal_assessment,reference_estimate,reference_conf_low,reference_conf_high,stability_classification
primary__glasses__all_available__first_timing_above_250__MCTQ,1,primary__glasses__all_available,primary,Primary dataset,glasses,Near eye,all_available,primary_near_eye,first_timing_above_250,MCTQ,ESTIMABLE,09aca8c67d0f33e3561b5251db458fd11ffd0dd6caf4bc37d546714cd30c53a5,139,722,722,9,16716.266666666666,1,6,7,TRUE,FITTED,,,0.3856199569973559,0.12063769359600833,0.14917442237120135,0.6220654916235104,0.09677491536687188,0.0043834141073144095,TRUE,TRUE,-0.08158686583157017,-0.09161442482289706,acceptable,0.3812365428900415,0.1462539463505574,0.6162191394295256,stable within model uncertainty
primary__glasses__all_available__first_timing_above_250__MEQ,1,primary__glasses__all_available,primary,Primary dataset,glasses,Near eye,all_available,primary_near_eye,first_timing_above_250,MEQ,ESTIMABLE,a653d075b20ac61bca35541b2f59a8912d278179633922b46087063aa2aeaf5a,140,727,727,9,16832.5,1,6,7,TRUE,FITTED,,,-0.4503982980887921,0.13086778323020612,-0.7068944399565908,-0.19390215622099333,0.10733302617907359,-0.006490933679423105,TRUE,TRUE,-0.06738396951205959,-0.07823003661561233,acceptable,-0.443907364409369,-0.698616503785482,-0.189198225033256,stable within model uncertainty
primary__glasses__all_available__l10_midpoint__MCTQ,1,primary__glasses__all_available,primary,Primary dataset,glasses,Near eye,all_available,primary_near_eye,l10_midpoint,MCTQ,ESTIMABLE,ab4c2d2a634dc21d4481bba842ae47f0c092b1b795fca3f506979d601cab8592,140,810,810,9,18711.683333333334,3,6,8,TRUE,FITTED,,,0.2792599421518491,0.08084130531397574,0.12081389527325026,0.437705989030448,0.09416798637591751,0.002851089540558349,TRUE,TRUE,-0.04914021956236007,-0.048859436950690345,acceptable,0.2764088526112908,0.11761200873027719,0.43520569649230434,stable within model uncertainty
primary__glasses__all_available__l10_midpoint__MEQ,1,primary__glasses__all_available,primary,Primary dataset,glasses,Near eye,all_available,primary_near_eye,l10_midpoint,MEQ,ESTIMABLE,25702bb348901735e44c17f7342b6653ed1f1e450a2700c269690472425bb0f1,141,816,816,9,18851,3,6,8,TRUE,FITTED,,,-0.31837976326434086,0.08786907953759003,-0.4905999945127027,-0.14615953201597903,0.09590321072234342,-0.004058076248384113,TRUE,TRUE,-0.046910980673971175,-0.046918325322104514,acceptable,-0.31432168701595675,-0.4869588082580469,-0.14168456577386662,stable within model uncertainty
primary__glasses__all_available__last_timing_above_250__MCTQ,1,primary__glasses__all_available,primary,Primary dataset,glasses,Near eye,all_available,primary_near_eye,last_timing_above_250,MCTQ,ESTIMABLE,1a6f413dca085875bfa1088b9abe8757974a9424f1c646cfca1a056c57402ad1,140,683,683,9,15900.783333333333,1,5,7,TRUE,FITTED,,,-0.034455331716543317,0.12170287283811217,-0.2729885792943011,0.20407791586121443,0.13858971782155657,-0.00930622684624012,TRUE,TRUE,-0.08313668638998539,-0.0634207676087476,acceptable,-0.025149104870303196,-0.26430511007262436,0.21400690033201794,stable within model uncertainty
primary__glasses__all_available__last_timing_above_250__MEQ,1,primary__glasses__all_available,primary,Primary dataset,glasses,Near eye,all_available,primary_near_eye,last_timing_above_250,MEQ,ESTIMABLE,19d69ac7ca5c0e39ec329b92242fe35f48e5f068139bfeb96592ff51579a2290,141,687,687,9,15995.05,1,5,7,TRUE,FITTED,,,0.032187122625979156,0.13486557547997022,-0.23214454806903057,0.2965187933209889,0.13439371452291524,0.003155853047949051,TRUE,TRUE,-0.08664176474552875,-0.06982894403242719,acceptable,0.029031269578030105,-0.2362101275729928,0.294272666729053,stable within model uncertainty
primary__glasses__all_available__longest_period_midpoint__MCTQ,1,primary__glasses__all_available,primary,Primary dataset,glasses,Near eye,all_available,primary_near_eye,longest_period_midpoint,MCTQ,ESTIMABLE,4a84638249c0cb5e0be8b0e5add1eff77115390fcdb24560ff63791921dd35bc,131,478,478,9,11325.55,1,4,7,TRUE,FITTED,,,0.14834225775967974,0.1405341752386832,-0.12709966430517988,0.42378417982453936,0.1500417000185452,-0.012413608329787607,TRUE,TRUE,-0.0369035233892846,0.010814961193946322,acceptable,0.16075586608946735,-0.11286949605605107,0.43438122823498576,stable within model uncertainty
primary__glasses__all_available__longest_period_midpoint__MEQ,1,primary__glasses__all_available,primary,Primary dataset,glasses,Near eye,all_available,primary_near_eye,longest_period_midpoint,MEQ,ESTIMABLE,25847f9665b9a73dec8045d1f8a79ca480b67e410a1acb06784e078260661ce3,132,482,482,9,11419.816666666668,1,4,7,TRUE,FITTED,,,-0.24465161862795404,0.14837661442032887,-0.5354644390397849,0.04616120178387689,0.16227100935054992,-0.016187731965901286,TRUE,TRUE,-0.03022205555192306,0.022071280883462187,acceptable,-0.22846388666205275,-0.520729501152317,0.06380172782821142,stable within model uncertainty
primary__glasses__all_available__m10_midpoint__MCTQ,1,primary__glasses__all_available,primary,Primary dataset,glasses,Near eye,all_available,primary_near_eye,m10_midpoint,MCTQ,ESTIMABLE,ab4c2d2a634dc21d4481bba842ae47f0c092b1b795fca3f506979d601cab8592,140,810,810,9,18711.683333333334,3,6,8,TRUE,FITTED,,,0.2052724975815245,0.08191511231782668,0.044721827649030904,0.3658231675140181,0.002178267844426071,2.4025084075340875e-5,TRUE,TRUE,-0.132543619011638,-0.13708127383507168,acceptable,0.20524847249744915,0.04475807818452163,0.3657388668103767,stable within model uncertainty
primary__glasses__all_available__m10_midpoint__MEQ,1,primary__glasses__all_available,primary,Primary dataset,glasses,Near eye,all_available,primary_near_eye,m10_midpoint,MEQ,ESTIMABLE,25702bb348901735e44c17f7342b6653ed1f1e450a2700c269690472425bb0f1,141,816,816,9,18851,3,6,8,TRUE,FITTED,,,-0.2780110466000223,0.08826221174688713,-0.4510018028197691,-0.1050202903802755,0.0024010771144755416,-1.9541607054196497e-6,TRUE,TRUE,-0.12377587789308729,-0.12993366461626038,acceptable,-0.2780090924393169,-0.4509260408562904,-0.10509214402234332,stable within model uncertainty
primary__glasses__all_available__mean_timing_above_250__MCTQ,1,primary__glasses__all_available,primary,Primary dataset,glasses,Near eye,all_available,primary_near_eye,mean_timing_above_250,MCTQ,ESTIMABLE,95c788d9f24f3be5dfcb16df9c55a86a4dd5339929ce9a4751b1104e79c61829,140,736,736,9,17070.316666666666,2,5.5,7,FALSE,FITTED,,,0.08919988807720282,0.07824287044814528,-0.0641533200481952,0.24255309620260085,0.06315826601812848,-4.992052778410444e-4,TRUE,TRUE,-0.04922438991033175,-0.06559314592903066,acceptable,0.08969909335504386,-0.0637353571668258,0.24313354387691352,stable within model uncertainty
