placement,observation_index,fitted_mean,pearson_residual,deviance_residual,observed_mel_edi_lx,observed_zero,source_model
Near-eye,1,4.710910802557039,-1.428372181549255,-2.9780996941975832,0,TRUE,geo_medi_1h ~ site + light_source
Near-eye,2,4.710910802557039,-1.428372181549255,-2.9780996941975832,0,TRUE,geo_medi_1h ~ site + light_source
Near-eye,3,4.710910802557039,-1.428372181549255,-2.9780996941975832,0,TRUE,geo_medi_1h ~ site + light_source
Near-eye,4,4.710910802557039,-1.428372181549255,-2.9780996941975832,0,TRUE,geo_medi_1h ~ site + light_source
Near-eye,5,4.710910802557039,-1.428372181549255,-2.9780996941975832,0,TRUE,geo_medi_1h ~ site + light_source
Near-eye,6,4.710910802557039,-1.428372181549255,-2.9780996941975832,0,TRUE,geo_medi_1h ~ site + light_source
Near-eye,7,352.00194112143015,-3.8521938301253305,-7.874778537709704,0.0813396570405936,FALSE,geo_medi_1h ~ site + light_source
Near-eye,8,152.5583888330087,-3.0052772204025078,-4.96169223705676,8.332938959343156,FALSE,geo_medi_1h ~ site + light_source
Near-eye,9,1774.1535071365502,-5.177807598442315,-8.280486846896416,130.77522313804167,FALSE,geo_medi_1h ~ site + light_source
Near-eye,10,352.00194112143015,-1.3130774720701122,-1.453400581573353,232.04457809195358,FALSE,geo_medi_1h ~ site + light_source
Near-eye,11,152.5583888330087,2.7609742745945463,2.323315586369213,285.05956181620627,FALSE,geo_medi_1h ~ site + light_source
Near-eye,12,152.5583888330087,-0.35662400253555165,-0.3675205584359792,135.4437423530582,FALSE,geo_medi_1h ~ site + light_source
Near-eye,13,1774.1535071365502,-2.862661557272152,-3.386944088081423,865.5767112212898,FALSE,geo_medi_1h ~ site + light_source
Near-eye,14,1774.1535071365502,-4.7124141894753295,-6.832236088858496,278.4858916538952,FALSE,geo_medi_1h ~ site + light_source
Near-eye,15,152.5583888330087,-0.4875425536368987,-0.50838642959919,129.16086541870627,FALSE,geo_medi_1h ~ site + light_source
Near-eye,16,152.5583888330087,-0.05475731143987247,-0.0550015235356056,149.9305454438287,FALSE,geo_medi_1h ~ site + light_source
Near-eye,17,152.5583888330087,-1.0538583129636638,-1.16272068554459,101.98295830086977,FALSE,geo_medi_1h ~ site + light_source
Near-eye,18,152.5583888330087,-0.9377965199795352,-1.0219180160659984,107.55284855679706,FALSE,geo_medi_1h ~ site + light_source
Near-eye,19,140.04256566576518,-3.0012759035877745,-5.136476557828077,5.196200900106424,FALSE,geo_medi_1h ~ site + light_source
Near-eye,20,152.5583888330087,-3.054287422245571,-5.202243440329286,5.980903559338291,FALSE,geo_medi_1h ~ site + light_source
Near-eye,21,152.5583888330087,-2.9742005168047494,-4.827401007758108,9.824332673889383,FALSE,geo_medi_1h ~ site + light_source
Near-eye,22,152.5583888330087,-3.1665212947519947,-6.142959371805684,0.5947180043382664,FALSE,geo_medi_1h ~ site + light_source
Near-eye,23,152.5583888330087,-3.167747450567799,-6.1658910076024025,0.5358738907406639,FALSE,geo_medi_1h ~ site + light_source
Near-eye,24,4.710910802557039,-1.428372181549255,-2.9780996941975832,0,TRUE,geo_medi_1h ~ site + light_source
Near-eye,25,4.710910802557039,-1.428372181549255,-2.9780996941975832,0,TRUE,geo_medi_1h ~ site + light_source
Near-eye,26,4.710910802557039,-1.428372181549255,-2.9780996941975832,0,TRUE,geo_medi_1h ~ site + light_source
Near-eye,27,4.710910802557039,-1.428372181549255,-2.9780996941975832,0,TRUE,geo_medi_1h ~ site + light_source
Near-eye,28,4.710910802557039,-1.428372181549255,-2.9780996941975832,0,TRUE,geo_medi_1h ~ site + light_source
Near-eye,29,4.710910802557039,-1.428372181549255,-2.9780996941975832,0,TRUE,geo_medi_1h ~ site + light_source
Near-eye,30,4.710910802557039,-1.428372181549255,-2.9780996941975832,0,TRUE,geo_medi_1h ~ site + light_source
