light_source,time_hour,participant_hours,participants,participant_days,sites,locally_sparse,category_order,category_code,short_label,figure_label,placement
Electric light source indoors,0.5,137,57,137,9,FALSE,1,electric_indoor,Indoor electric,"Indoor
electric",Near-eye
Electric light source indoors,1.5,63,40,63,9,FALSE,1,electric_indoor,Indoor electric,"Indoor
electric",Near-eye
Electric light source indoors,2.5,30,21,30,7,FALSE,1,electric_indoor,Indoor electric,"Indoor
electric",Near-eye
Electric light source indoors,3.5,18,13,18,5,TRUE,1,electric_indoor,Indoor electric,"Indoor
electric",Near-eye
Electric light source indoors,4.5,21,14,21,6,FALSE,1,electric_indoor,Indoor electric,"Indoor
electric",Near-eye
Electric light source indoors,5.5,28,16,28,7,FALSE,1,electric_indoor,Indoor electric,"Indoor
electric",Near-eye
Electric light source indoors,6.5,63,33,63,8,FALSE,1,electric_indoor,Indoor electric,"Indoor
electric",Near-eye
Electric light source indoors,7.5,139,56,139,9,FALSE,1,electric_indoor,Indoor electric,"Indoor
electric",Near-eye
Electric light source indoors,8.5,143,63,143,9,FALSE,1,electric_indoor,Indoor electric,"Indoor
electric",Near-eye
Electric light source indoors,9.5,162,69,162,9,FALSE,1,electric_indoor,Indoor electric,"Indoor
electric",Near-eye
Electric light source indoors,10.5,181,76,181,9,FALSE,1,electric_indoor,Indoor electric,"Indoor
electric",Near-eye
Electric light source indoors,11.5,193,78,193,9,FALSE,1,electric_indoor,Indoor electric,"Indoor
electric",Near-eye
Electric light source indoors,12.5,182,80,182,9,FALSE,1,electric_indoor,Indoor electric,"Indoor
electric",Near-eye
Electric light source indoors,13.5,179,77,179,9,FALSE,1,electric_indoor,Indoor electric,"Indoor
electric",Near-eye
Electric light source indoors,14.5,182,79,182,9,FALSE,1,electric_indoor,Indoor electric,"Indoor
electric",Near-eye
Electric light source indoors,15.5,184,82,184,9,FALSE,1,electric_indoor,Indoor electric,"Indoor
electric",Near-eye
Electric light source indoors,16.5,194,85,194,9,FALSE,1,electric_indoor,Indoor electric,"Indoor
electric",Near-eye
Electric light source indoors,17.5,217,88,217,9,FALSE,1,electric_indoor,Indoor electric,"Indoor
electric",Near-eye
Electric light source indoors,18.5,281,97,281,9,FALSE,1,electric_indoor,Indoor electric,"Indoor
electric",Near-eye
