"path","sha256","bytes","package","version"
"/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/renv/library/macos/R-4.6/aarch64-apple-darwin23/digest/DESCRIPTION","cfd44904db794458a5db186d88f1cd71f193858154df8e5219755ab7747adc6f",6797,"digest","0.6.39"
"/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/renv/library/macos/R-4.6/aarch64-apple-darwin23/dplyr/DESCRIPTION","618accb16c5640af5226c0318b11becc0212038e1b25c5065fcedab68b511905",2269,"dplyr","1.2.1"
"/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/renv/library/macos/R-4.6/aarch64-apple-darwin23/ggplot2/DESCRIPTION","224c178358823e51d01e45e51fcbc8d950f1511f253fac79fe3326ec26986bdc",6864,"ggplot2","4.0.3"
"/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/renv/library/macos/R-4.6/aarch64-apple-darwin23/patchwork/DESCRIPTION","971aeb34faf087262805379d0610b8adead2593b2e01328a6d38c3bcb50dd87d",1683,"patchwork","1.3.2"
"/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/renv/library/macos/R-4.6/aarch64-apple-darwin23/ragg/DESCRIPTION","327741d178633a43df8719c8c0056cf1d03f4bc4d019d89a425b8642eeeb7ef5",2353,"ragg","1.5.2"
"/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/renv/library/macos/R-4.6/aarch64-apple-darwin23/readr/DESCRIPTION","84dec98a5abba61afbc7f54f6d1bd679fb6a8bc172f3276447c433fde102c0c5",2503,"readr","2.2.0"
"/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/renv/library/macos/R-4.6/aarch64-apple-darwin23/stringr/DESCRIPTION","03ed09b7ffff2ba245df792bead457f7553bc09557862d8151600e7adce3f413",1620,"stringr","1.6.0"
"/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/renv/library/macos/R-4.6/aarch64-apple-darwin23/svglite/DESCRIPTION","d3eafc95cb062a1c98dc9d3a6db245ed846c9c4716f951b63c2333f6474ecfef",2677,"svglite","2.2.2"
"/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/renv/library/macos/R-4.6/aarch64-apple-darwin23/systemfonts/DESCRIPTION","45e04cac8e31311b4ae4eee36420a6c4bb7b73dad13fa07607ca022d8877e05a",2299,"systemfonts","1.3.2"
"/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/renv/library/macos/R-4.6/aarch64-apple-darwin23/tibble/DESCRIPTION","d7cfae73163fbb7815355f953c37647cea755f051512d13a6cd42b74b2b0741a",2186,"tibble","3.3.1"
"/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/renv/library/macos/R-4.6/aarch64-apple-darwin23/tidyr/DESCRIPTION","20726612070b046d548adaa6b2703f693d1140a108a0a5fc11df71a67cb22e07",2105,"tidyr","1.3.2"
"/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/renv/library/macos/R-4.6/aarch64-apple-darwin23/xml2/DESCRIPTION","ba57a612ed635db7eadbe9d33baf8752e8be1e5db8ec36706694e11964227bff",2220,"xml2","1.6.0"
