"check","expected","status"
"owner_manifest_exact_unique_noncircular","11/11","PASS"
"source_inputs_exact","62/62","PASS"
"unchanged_checker_replay","51/51","PASS"
"two_replay_csv_byte_identity","2/2","PASS"
"no_owner_input_write","0","PASS"
"three_owner_roots_absent","3/3","PASS"
"minimal_h07_registry_pinned","PASS","PASS"
"all_owner_input_and_preservation_pins_created","3/3","PASS"
"installed_display_library_pinned","12 descriptions","PASS"
"brown_science_and_writer_render_held","HELD","PASS"
"no_existing_owner_code_or_asset_changed","PASS","PASS"
