domain,check_id,status,detail
dispatch,order_identity,PASS,"Order 60 SHA-256 9b7d6ae3d61c8c30382b8de8f4a9c42ee76150a99cfaa454b2adc89abdf67efa"
dispatch,dispatch_manifest,PASS,"30/30 exact, unique, non-circular in R 4.6.1"
dispatch,preflight_manifest,PASS,"28/28 exact, unique, non-circular in R 4.6.1"
coordination,coordination_matrix,PASS,"SHA-256 228e70848a6c6c75000e7a91b8d4af4b892d8e1ae8578ca2c267554386027ea1"
preflight,durable_checker,PASS,"13/13 checks; H11 Stage 3 transitions=2; held preparation transitions=4; transition-aware tests=2/2; science=193; build resources=34"
preflight,build_tree,PASS,"1180 entries, 871 files, 309 directories, zero symlinks"
preflight,process_exclusion,PASS,"No competing H11, Quarto, Pandoc, semantic-hook, or loopback process"
render,single_attempt,FAIL_CLOSED,"Exactly one render attempt; exit status 1; no retry"
stopped_state,build_inventory,PASS,"Pre-render and post-failure inventories are byte-identical; SHA-256 b899d8f7267f931958b090be9c924a1b0656ea776e51321a93dce8931e9dad8e"
stopped_state,protected_inventory,PASS,"336/336 protected files exact; empty delta"
stopped_state,scientific_assets,PASS,"All 193 scientific assets remain covered by the exact protected inventory"
stopped_state,semantic_directory,PASS,"Zero entries; post-render hook did not execute"
stopped_state,result_html,PASS,"Unchanged stale endpoint SHA-256 c5724711ad1aa94631df0b6186fee92398d414ae02690ade08f320b29d6b6db7"
stopped_state,process_teardown,PASS,"No H11, Quarto, Pandoc, semantic-hook, or loopback process remains"
scope,h11_companion,PASS,"Not rendered or changed"
scope,sensitivity_battery,PASS,"Not rendered, executed, or changed"
