"domain","check_id","pass","detail"
"H10","order59a_owner_manifest",TRUE,"exact=113/114 matrix_transition=TRUE"
"H10","accepted_result_companion_helper_and_manifest",TRUE,"exact=6/6"
"H10","preparation_manifest_live_exact",TRUE,"exact=269/269"
"H10","static_visual_lifecycle_and_no_drift",TRUE,"static=12 visual=20 lifecycle=10 build_same=TRUE protected_same=TRUE"
"H11 identity","source_tests_manifests_companion_profile_and_sensitivity",TRUE,"exact=14/14 phase=preflight"
"H11 source","parse_endpoints_and_no_scientific_execution_calls",TRUE,"expressions=81 tables=15 figures=8 forbidden=0"
"H11 links","relative_targets_and_deviation_anchors",TRUE,"links=26 unique=23 deviation_occurrences=12 unique_deviations=10"
"H11 manifest","exact_stage3_historical_transition_set",TRUE,"rows=69 exact=67 transitions=2 phase=preflight"
"H11 held companion","complete_deferred_preparation_manifest_transition_set",TRUE,"rows=282 transitions=4 helper_runs=0 preparation_test_runs=0"
"H11 tests","complete_transition_aware_stage3_and_report016_tests",TRUE,"h11-stage3-transition-aware-=0|h11-report016-transition-aware-=0"
"H11 protection","scientific_assets_frozen",TRUE,"files=193 phase=preflight"
"H11 build","source_identical_h11_resource_copies",TRUE,"exact=34/34"
"H11 visual harness","bounded_loopback_root_has_no_symlinks",TRUE,"entries=1180 symlinks=0"
