metric_order,metric_id,manuscript_name,placement,placement_label,participants,participant_days,sites,metric_support_valid_hours,metric_support_expected_hours,metric_support_missing_rows,row_key_hash,model_frame_hash
1,daily_geometric_mean_medi,Mean melEDI,chest,Chest,154,902,8,20891.75,21648,0,a53255e778373e68d08ff71302616cadee864974760dd069ccfe88d52361e099,2e372026e28b6820637d72e6870ee38576bcb1f2bc840a503a7418f630e1c266
1,daily_geometric_mean_medi,Mean melEDI,glasses,Near eye,141,816,9,18851,19586,0,25702bb348901735e44c17f7342b6653ed1f1e450a2700c269690472425bb0f1,013a3ecb44680383ebda59fbc003a112490eac25bf39423b6400099f1acbe8e6
2,m10_mean_medi,Brightest 10 h mean,chest,Chest,154,902,8,,,902,a53255e778373e68d08ff71302616cadee864974760dd069ccfe88d52361e099,4d6ae78e79c77602ee5d5d7056624c7fd665b131c89ffdeb9d4166e3047c8a0d
2,m10_mean_medi,Brightest 10 h mean,glasses,Near eye,141,816,9,,,816,25702bb348901735e44c17f7342b6653ed1f1e450a2700c269690472425bb0f1,5e4410c0c01642ebf86765e7e6e02589bf590430ec0a6f54b484f0c9924eddfd
3,l10_mean_medi,Darkest 10 h mean,chest,Chest,154,902,8,,,902,a53255e778373e68d08ff71302616cadee864974760dd069ccfe88d52361e099,91947ddf3de09d2c911fa10ea4e9cbfe73f7d632ef68cd9f1694e7b9cdefe54f
3,l10_mean_medi,Darkest 10 h mean,glasses,Near eye,141,816,9,,,816,25702bb348901735e44c17f7342b6653ed1f1e450a2700c269690472425bb0f1,5e6776ee9f677607643e3d4273629f59fd1623a13f377d4dbe253760d21b133c
4,duration_above_1000,"Time above 1,000 lx melEDI",chest,Chest,154,902,8,20891.75,21648,0,a53255e778373e68d08ff71302616cadee864974760dd069ccfe88d52361e099,6ec8218af2884a787b64590eae26fbb79d9cfb2cf9c9b299358432a5ff23e338
4,duration_above_1000,"Time above 1,000 lx melEDI",glasses,Near eye,141,816,9,18851,19586,0,25702bb348901735e44c17f7342b6653ed1f1e450a2700c269690472425bb0f1,7d88561fbe13c025f6af472a5f14c5041b38fe4c24cff46359243259710e5ab9
5,duration_above_250_wake,Time above 250 lx melEDI during wake,chest,Chest,154,818,8,10297.716666666667,10727.6,0,9866d96dc5cde14dd0ea6908bfe5f100ffb2ecd58e84bbe86a684fa16eec388a,f8a953cf2178d07058a2abeb2312a0255570706c8397cc8c0f1038fc417ea13d
5,duration_above_250_wake,Time above 250 lx melEDI during wake,glasses,Near eye,141,737,9,9174.283333333333,9586.383333333331,0,3097ca37533a81a8009274f251ec65fb2fbc09044f8f796d9f0f42e1443c7c80,ed54c6aa119f6743144bcf601e9681a60963c18474ddda2b19ec02a630a1bec9
6,duration_below_10_pre_sleep,Time below 10 lx melEDI before sleep,chest,Chest,153,743,8,2180.1,2205.5,0,797cba2a91bb3e82d683f6f2e082d4237fa95a4659083b6945cde91ae37a7634,30df3f2dbaf62fec792e7c9ac6b6b79e21490d90e965a1f1cf799fe021f1ff45
6,duration_below_10_pre_sleep,Time below 10 lx melEDI before sleep,glasses,Near eye,139,655,9,1925.5333333333333,1954.25,0,6d2f283781ab3130ba2caacbcbde035f8a0d2b1c8818f4b45ad57fb46943af14,e1bf1acedc85e68a7f6d7d790cb733422b1355c1fe06e04331e21072f34496d5
7,duration_below_1_sleep_environment,Time below 1 lx melEDI during sleep,chest,Chest,154,861,8,6871.416666666667,6873.866666666667,0,f3cac6989c6f1f291fc69c0dd96d36e988017d9c671a1430f8b6e8e31a7ebc6d,e4d9bfc259ee11a90ebaebc2332f7fd01935ceff8b24df4cb451285983f6c9a9
7,duration_below_1_sleep_environment,Time below 1 lx melEDI during sleep,glasses,Near eye,141,778,9,6282.516666666666,6286.533333333334,0,d596e734fdd69bd06887b1be05ef2592538649b4853eaac2d68646c80660f820,c6a11d14be3468c99d00396b923ad885f01139dd30b3339763dc391cc004239f
8,longest_bout_above_250,Longest continuous period above 250 lx melEDI,chest,Chest,154,902,8,20891.75,21648,0,a53255e778373e68d08ff71302616cadee864974760dd069ccfe88d52361e099,3c08272546ecef13d7ca1bb7293eab0b6f98a7f64f3231616fd9bc7fcbf13489
8,longest_bout_above_250,Longest continuous period above 250 lx melEDI,glasses,Near eye,141,816,9,18851,19586,0,25702bb348901735e44c17f7342b6653ed1f1e450a2700c269690472425bb0f1,701a4f7290c04445a9d838339800f7ed36a58abc0d1600cb5939cd9a852aa056
9,dose_time_sensitive_corrected_medi,melEDI dose,chest,Chest,154,851,8,19814.9,20424,0,cd7805caba6dede5d964ca1c97a5b7f3d81876d9fcdd07b3f87acf6bc6da847b,b3074758167e8280e204e026a322c61c63db0532ed89ca1d5e1af16511a58af0
9,dose_time_sensitive_corrected_medi,melEDI dose,glasses,Near eye,141,761,9,17678.816666666666,18265,0,b1ce4b966797511254650262b1a4d5dad4a0c83dca0f90c108e8de32f19e1a8b,21674572ecdd236b21ad720fe89bdbde5c2157376ce01210d492784b0534bfe6
