stored_VLSQ8,participants,percentage
13,13,7.065217391304348
14,9,4.891304347826087
15,6,3.260869565217391
16,11,5.978260869565218
17,10,5.434782608695652
18,8,4.3478260869565215
19,16,8.695652173913043
20,10,5.434782608695652
21,10,5.434782608695652
22,13,7.065217391304348
23,13,7.065217391304348
24,7,3.8043478260869565
25,13,7.065217391304348
26,7,3.8043478260869565
27,12,6.521739130434782
28,3,1.6304347826086956
29,7,3.8043478260869565
30,6,3.260869565217391
31,2,1.0869565217391304
32,2,1.0869565217391304
33,2,1.0869565217391304
34,2,1.0869565217391304
35,1,0.5434782608695652
39,1,0.5434782608695652
