run_id,data_scenario_id,placement,sample_scenario,analytical_role,metric_order,metric_id,analysis_unit.x,response_family.x,response_transform.x,participants,participant_days,observations,sites,derivation_support_hours,derivation_support_status,derivation_support_unavailability_reason,sample_status,analysis_unit.y,response_family.y,response_transform.y,effect_scale,preregistered_photoperiod,lower_bound,upper_bound,audit_upper_threshold,diagnostic_note,manuscript_name,abbreviation,manuscript_category,display_unit,variant_label,family_label,analysis_unit_label,run_order,run_label,data_label,placement_label,sample_label,site_statistic,photoperiod_statistic,latitude_statistic,adequacy_statistic,site_df,photoperiod_df,latitude_df,adequacy_df,site_p_raw,photoperiod_p_raw.x,latitude_p_raw.x,adequacy_p_raw,site_p_adjusted,photoperiod_p_adjusted,latitude_p_adjusted,adequacy_p_adjusted,site_comparison_status,photoperiod_comparison_status,latitude_comparison_status,adequacy_comparison_status,site_family_status,photoperiod_family_status,latitude_family_status,adequacy_family_status,photoperiod_effect_type,latitude_effect_type,photoperiod_estimate_practical,latitude_estimate_practical,photoperiod_conf_low_practical,latitude_conf_low_practical,photoperiod_conf_high_practical,latitude_conf_high_practical,photoperiod_p_raw.y,latitude_p_raw.y,photoperiod_interval_method,latitude_interval_method,photoperiod_status,latitude_status,assessment,residual_assessment,bound_assessment
main__glasses__all_available,main,glasses,all_available,primary,1,interdaily_stability,participant,gaussian,logit,141,816,141,9,18851,available,,FITTED,participant,gaussian,logit,odds_ratio,FALSE,0,1,,Transformed residual and influence checks,Interdaily stability,IS,dynamics-based,dimensionless,Repeated-day regularity,Gaussian after logit transformation,Participant,1,Main near-eye,Main,Near eye,All available,11.00550662608623,0.7047790871258997,0.13612846891368235,10.869378157172548,8,1,1,7,0.20138738085258381,0.4011824961340883,0.7121605830478575,0.14441904000633837,0.22823903163292833,0.4011824961340883,0.903424133842843,0.17536597715055371,PASS,PASS,PASS,PASS,COMPLETE,COMPLETE,COMPLETE,COMPLETE,odds_ratio,odds_ratio,0.9833511062650612,1.009236239713783,0.9442131871641202,0.9606340837286336,1.0241113038221548,1.0602973648386034,0.41782172005207774,0.7150383518278587,wald_normal,wald_normal,PASS,PASS,Acceptable,No flagged residual issue,Prediction bounds passed
main__glasses__all_available,main,glasses,all_available,primary,2,intradaily_variability,participant,gaussian,identity,141,816,141,9,18851,available,,FITTED,participant,gaussian,identity,difference,FALSE,0,,,Residual spread and influence checks,Intradaily variability,IV,dynamics-based,dimensionless,Within-day fragmentation,Gaussian on the identity scale,Participant,1,Main near-eye,Main,Near eye,All available,7.5051744363008766,1.0394940581291507,3.02429265542807,4.4808817808728065,8,1,1,7,0.4832327447704752,0.30793916979202657,0.08202608204451753,0.7230181913216733,0.4832327447704752,0.32718536790402825,0.1394443394756798,0.7230181913216733,PASS,PASS,PASS,PASS,COMPLETE,COMPLETE,COMPLETE,COMPLETE,difference,difference,-0.01888291968490349,-0.03941167039524915,-0.05647351563977113,-0.08406954946809372,0.01870767626996413,0.00524620867759541,0.3248448820589703,0.08368100225823624,wald_normal,wald_normal,PASS,PASS,Acceptable,No flagged residual issue,No verified upper bound available
main__glasses__all_available,main,glasses,all_available,primary,3,daily_geometric_mean_medi,participant_day,gaussian,log10_offset_0.1,141,816,816,9,18851,available,,FITTED,participant_day,gaussian,log10_offset_0.1,ratio,FALSE,0,,,"Offset, influence, and upper-tail checks",Mean melEDI,Mean,level-based,lx,Daily geometric mean,Gaussian after log10(value + 0.1),Participant-day,1,Main near-eye,Main,Near eye,All available,30.602346594697792,26.748113475594323,12.41393682066348,18.188409774034312,8,1,1,7,1.6533471303078692e-4,2.317779003226849e-7,4.261415538972825e-4,0.01114824515494459,6.351897361923244e-4,9.850560763714108e-7,0.00181110160406345,0.03158669460567634,PASS,PASS,PASS,PASS,COMPLETE,COMPLETE,COMPLETE,COMPLETE,ratio,ratio,1.180877656524222,1.1538833416917786,1.1094504485781496,1.0664415304896775,1.2569033988541507,1.2484948571183514,1.763492247682617e-7,3.710771969002011e-4,wald_normal,wald_normal,PASS,PASS,Acceptable with limitations,Gaussian residual-shape warning,No verified upper bound available
main__glasses__all_available,main,glasses,all_available,primary,4,m10_mean_medi,participant_day,gaussian,log10_offset_0.1,141,816,816,9,,unavailable,metric_producer_did_not_export_exact_support_minutes,FITTED,participant_day,gaussian,log10_offset_0.1,ratio,FALSE,0,,,Influence and upper-tail checks,Brightest 10 h mean,M10mean,level-based,lx,Supported 10-hour window,Gaussian after log10(value + 0.1),Participant-day,1,Main near-eye,Main,Near eye,All available,21.975831132317808,21.23666723315864,13.431691143689932,8.544139988627876,8,1,1,7,0.00496083731742864,4.0592414108821875e-6,2.4740897965823356e-4,0.28706141884443864,0.01054177929953585,1.1501183997499532e-5,0.00140198421806332,0.3253362746903638,PASS,PASS,PASS,PASS,COMPLETE,COMPLETE,COMPLETE,COMPLETE,ratio,ratio,1.24260332767718,1.2376302755749329,1.13313910477087,1.105678168314194,1.362642082912339,1.3853296039615943,3.902283492345802e-6,2.1020219680229963e-4,wald_normal,wald_normal,PASS,PASS,Acceptable with limitations,Gaussian residual-shape warning,No verified upper bound available
main__glasses__all_available,main,glasses,all_available,primary,5,l10_mean_medi,participant_day,gaussian,log10_offset_0.1,141,816,816,9,,unavailable,metric_producer_did_not_export_exact_support_minutes,FITTED,participant_day,gaussian,log10_offset_0.1,ratio,FALSE,0,,,High-risk exact-zero and residual checks,Darkest 10 h mean,L10mean,level-based,lx,Supported 10-hour window,Gaussian after log10(value + 0.1),Participant-day,1,Main near-eye,Main,Near eye,All available,40.7061435443692,10.904046985972457,1.2764486764378091,39.42969486793139,8,1,1,7,2.3655918852345624e-6,9.59543931589928e-4,0.25856038951390825,1.6180869626066924e-6,1.3405020682995856e-5,0.00163122468370287,0.3995933292487673,2.750747836431377e-5,PASS,PASS,PASS,PASS,COMPLETE,COMPLETE,COMPLETE,COMPLETE,ratio,ratio,1.0877524781346135,1.0402365409611802,1.0339201747190176,0.9708223659316298,1.1443876254852514,1.114613856379868,0.00116186900777352,0.26289997249470265,wald_normal,wald_normal,PASS,PASS,Acceptable with limitations,Gaussian residual-shape warning,No verified upper bound available
main__glasses__all_available,main,glasses,all_available,primary,6,duration_above_1000,participant_day,tweedie_log,identity,141,816,816,9,18851,available,,FITTED,participant_day,tweedie_log,identity,ratio,TRUE,0,24,,"Zero mass, dispersion, tail, and 24-hour prediction checks","Time above 1,000 lx melEDI",TAT1000,duration-based,h,Full 24-hour cycle,Tweedie with log link,Participant-day,1,Main near-eye,Main,Near eye,All available,15.506089028828685,27.405566422468382,0.3708515063372033,15.13523752249148,8,1,1,7,0.05002040989049564,1.6495573790350586e-7,0.5425404897294439,0.03430440742102848,0.07086224734486882,9.347491814532e-7,0.7685990271167122,0.0530159023779531,PASS,PASS,PASS,PASS,COMPLETE,COMPLETE,COMPLETE,COMPLETE,ratio,ratio,1.205778023401601,1.0272838320364963,1.1284321264167825,0.9420997568333772,1.2884254246952185,1.1201701984413466,3.1633704391120754e-8,0.5422002778391373,wald_normal,wald_normal,PASS,PASS,Acceptable,No flagged residual issue,Prediction bounds passed
main__glasses__all_available,main,glasses,all_available,primary,7,duration_above_250_wake,participant_day,tweedie_log,identity,141,737,737,9,9174.283333333333,available,,FITTED,participant_day,tweedie_log,identity,ratio,TRUE,0,,,"Zero mass, tail, and waking-duration prediction checks",Time above 250 lx melEDI during wake,TAT250,duration-based,h,Waking near-eye measurement,Tweedie with log link,Participant-day,1,Main near-eye,Main,Near eye,All available,23.25388511896972,17.72877478870805,7.958132130468584,15.295752988501135,8,1,1,7,0.00305313034320149,2.5474390924110978e-5,0.00478717924565227,0.03238973001565546,0.00741474511920361,5.413308071373583e-5,0.01254039781048859,0.0530159023779531,PASS,PASS,PASS,PASS,COMPLETE,COMPLETE,COMPLETE,COMPLETE,ratio,ratio,1.1355344563084115,1.1153795412494003,1.0726397933203122,1.035051851245266,1.2021169729982106,1.2019412549632045,1.2312905768548156e-5,0.00419155984518297,wald_normal,wald_normal,PASS,PASS,Acceptable with limitations,Tweedie simulation-diagnostic warning,Prediction bounds passed
main__glasses__all_available,main,glasses,all_available,primary,8,duration_below_10_pre_sleep,participant_day,gaussian,identity,139,655,655,9,1925.5333333333333,available,,FITTED,participant_day,gaussian,identity,difference,TRUE,0,24,6,Calendar-day cumulative duration with a six-hour audit threshold; identity-scale Gaussian selected by the H01 candidate assessment,Time below 10 lx melEDI before sleep,TBT10,duration-based,h,Three hours before attempted sleep,Gaussian on the identity scale,Participant-day,1,Main near-eye,Main,Near eye,All available,17.14339423545448,15.40907967245812,0.00232459560788811,17.14106963984659,8,1,1,7,0.02865008430892119,8.65713256434276e-5,0.9615456447433032,0.01650883744269249,0.04870514332516602,1.6352361510425212e-4,0.9615456447433032,0.040092890932253183,PASS,PASS,PASS,PASS,COMPLETE,COMPLETE,COMPLETE,COMPLETE,difference,difference,-0.1335800529895413,0.00204618998930766,-0.20084784751606155,-0.08509527666397712,-0.06631225846302102,0.08918765664259246,9.938568619606584e-5,0.96329240306821,wald_normal,wald_normal,PASS,PASS,Acceptable with limitations,Gaussian residual-shape warning,Prediction bounds passed
main__glasses__all_available,main,glasses,all_available,primary,9,duration_below_1_sleep_environment,participant_day,tweedie_log,identity,141,778,778,9,6282.516666666666,available,,FITTED,participant_day,tweedie_log,identity,ratio,TRUE,0,,,Distribution and sleep-window prediction checks,Time below 1 lx melEDI during sleep,TBT1,duration-based,h,Bedside sleep-environment measurement,Tweedie with log link,Participant-day,1,Main near-eye,Main,Near eye,All available,16.380029930764522,1.8463625418944505,0.0356300417811326,16.34439988898339,8,1,1,7,0.03725267776862964,0.17420704561449582,0.8502815377344405,0.02214953877636787,0.05757232018788216,0.22723207167080692,0.903424133842843,0.04349306410010818,PASS,PASS,PASS,PASS,COMPLETE,COMPLETE,COMPLETE,COMPLETE,ratio,ratio,0.98687109515049,0.9976501786956836,0.9682781890295508,0.973581131604682,1.0058210227988564,1.0223142650793162,0.1732417634497789,0.8502431632029921,wald_normal,wald_normal,PASS,PASS,Acceptable with limitations,Strong Tweedie simulation-diagnostic warning,Predicted values crossed a physical bound
main__glasses__all_available,main,glasses,all_available,primary,10,longest_bout_above_250,participant_day,gaussian,log10_offset_0.1,141,816,816,9,18851,available,,FITTED,participant_day,gaussian,log10_offset_0.1,ratio,TRUE,0,24,,Mandatory exactly-identified-only sensitivity,Longest continuous period above 250 lx melEDI,PAT250,duration-based,h,Observed lower bound,Gaussian after log10(value + 0.1),Participant-day,1,Main near-eye,Main,Near eye,All available,8.627136113784104,18.14082331573627,3.0413685319775823,5.585767581806522,8,1,1,7,0.37471941014053073,2.0515567789340968e-5,0.08116746240199435,0.5888598474752745,0.3981393732743139,4.982352177411378e-5,0.1394443394756798,0.6256635879424792,PASS,PASS,PASS,PASS,COMPLETE,COMPLETE,COMPLETE,COMPLETE,ratio,ratio,1.1246405089540772,1.05998850023415,1.0652605370094024,0.9924617535852112,1.1873304515074907,1.1321097428387443,2.193460504085346e-5,0.08280119844801963,wald_normal,wald_normal,PASS,PASS,Acceptable,No flagged residual issue,Prediction bounds passed
