run_id,run_order,run_label,placement_label,metric_order,metric_id,manuscript_category,manuscript_name,response_family,response_transform,assessment,residual_assessment,bound_assessment,residual_status,diagnostic_status,shapiro_p,residual_variance_ratio,standardized_residual_over_3_fraction,standardized_residual_over_4_fraction,dharma_uniformity_p,dharma_dispersion_p,dharma_zero_inflation_p,dharma_outlier_p,observed_zero_fraction,simulated_zero_fraction,zero_fraction_ratio,prediction_bound_status,predicted_below_bound_n,predicted_above_bound_n
main__glasses__all_available,1,Main near-eye,Near eye,1,interdaily_stability,dynamics-based,Interdaily stability,gaussian,logit,Acceptable,No flagged residual issue,Prediction bounds passed,PASS,PASS,0.17123649311063777,1.4712915831794542,0,0,,,,,,,,PASS,0,0
main__glasses__all_available,1,Main near-eye,Near eye,2,intradaily_variability,dynamics-based,Intradaily variability,gaussian,identity,Acceptable,No flagged residual issue,No verified upper bound available,PASS,PASS,0.01465715334331528,1.294293225336095,0,0,,,,,,,,UPPER_BOUND_UNAVAILABLE,0,
main__glasses__all_available,1,Main near-eye,Near eye,3,daily_geometric_mean_medi,level-based,Mean melEDI,gaussian,log10_offset_0.1,Acceptable with limitations,Gaussian residual-shape warning,No verified upper bound available,WARN_GAUSSIAN_DIAGNOSTIC,WARN_REVIEW,1.8574463539927186e-15,2.1962588810951607,0.01348039215686274,0.00612745098039215,,,,,,,,UPPER_BOUND_UNAVAILABLE,0,
main__glasses__all_available,1,Main near-eye,Near eye,4,m10_mean_medi,level-based,Brightest 10 h mean,gaussian,log10_offset_0.1,Acceptable with limitations,Gaussian residual-shape warning,No verified upper bound available,WARN_GAUSSIAN_DIAGNOSTIC,WARN_REVIEW,9.384209943776419e-18,2.8390336736743413,0.01102941176470588,0.00735294117647058,,,,,,,,UPPER_BOUND_UNAVAILABLE,0,
main__glasses__all_available,1,Main near-eye,Near eye,5,l10_mean_medi,level-based,Darkest 10 h mean,gaussian,log10_offset_0.1,Acceptable with limitations,Gaussian residual-shape warning,No verified upper bound available,WARN_GAUSSIAN_DIAGNOSTIC,WARN_REVIEW,8.033050006169092e-15,7.348875228226344,0.01225490196078431,0.00490196078431372,,,,,,,,UPPER_BOUND_UNAVAILABLE,0,
main__glasses__all_available,1,Main near-eye,Near eye,6,duration_above_1000,duration-based,"Time above 1,000 lx melEDI",tweedie_log,identity,Acceptable,No flagged residual issue,Prediction bounds passed,PASS,PASS,,,,,0.17942600555990315,0.12,0.816,0.8419838420599415,0.12622549019607843,0.12322549019607844,1.0243456122205423,PASS,0,0
main__glasses__all_available,1,Main near-eye,Near eye,7,duration_above_250_wake,duration-based,Time above 250 lx melEDI during wake,tweedie_log,identity,Acceptable with limitations,Tweedie simulation-diagnostic warning,Prediction bounds passed,WARN_TWEEDIE_DIAGNOSTIC,WARN_REVIEW,,,,,0.00516018098081026,0.064,0.456,0.30089742334938624,0.03392130257801899,0.02838534599728629,1.1950286806883366,PASS,0,0
main__glasses__all_available,1,Main near-eye,Near eye,8,duration_below_10_pre_sleep,duration-based,Time below 10 lx melEDI before sleep,gaussian,identity,Acceptable with limitations,Gaussian residual-shape warning,Prediction bounds passed,WARN_GAUSSIAN_DIAGNOSTIC,WARN_REVIEW,3.1746186844624225e-6,1.6596762215932035,0.00763358778625954,0.00305343511450381,,,,,,,,PASS,0,0
main__glasses__all_available,1,Main near-eye,Near eye,9,duration_below_1_sleep_environment,duration-based,Time below 1 lx melEDI during sleep,tweedie_log,identity,Acceptable with limitations,Strong Tweedie simulation-diagnostic warning,Predicted values crossed a physical bound,WARN_STRONG_TWEEDIE_MISFIT,WARN_REVIEW,,,,,1.7521378552662714e-11,0.28,0,0.00181884067295219,0.00514138817480719,0,Inf,WARN_PREDICTED_BOUND,0,187
main__glasses__all_available,1,Main near-eye,Near eye,10,longest_bout_above_250,duration-based,Longest continuous period above 250 lx melEDI,gaussian,log10_offset_0.1,Acceptable,No flagged residual issue,Prediction bounds passed,PASS,PASS,0.01046601430339342,1.4070574160665008,0.00245098039215686,0,,,,,,,,PASS,0,0
main__glasses__all_available,1,Main near-eye,Near eye,11,m10_midpoint,timing-based,Midpoint of the brightest 10 hours,gaussian,clock_hours,Acceptable with limitations,Gaussian residual-shape warning,Prediction bounds passed,WARN_GAUSSIAN_DIAGNOSTIC,WARN_REVIEW,7.907004446324941e-15,1.4473842515269577,0.01225490196078431,0.00490196078431372,,,,,,,,PASS,0,0
main__glasses__all_available,1,Main near-eye,Near eye,12,l10_midpoint,timing-based,Midpoint of the darkest 10 hours,gaussian,clock_hours_midnight_after_16,Acceptable with limitations,Gaussian residual-shape warning,Prediction bounds passed,WARN_GAUSSIAN_DIAGNOSTIC,WARN_REVIEW,1.8896893642640072e-27,3.3450550575511375,0.0159313725490196,0.01348039215686274,,,,,,,,PASS,0,0
main__glasses__all_available,1,Main near-eye,Near eye,13,mean_timing_above_250,timing-based,Mean timing of exposure above 250 lx melEDI,gaussian,clock_hours,Acceptable with limitations,Gaussian residual-shape warning,Prediction bounds passed,WARN_GAUSSIAN_DIAGNOSTIC,WARN_REVIEW,1.2151863120068994e-6,1.7269872502335326,0.00943396226415094,0.00269541778975741,,,,,,,,PASS,0,0
main__glasses__all_available,1,Main near-eye,Near eye,14,first_timing_above_250,timing-based,First light timing above 250 lx melEDI,gaussian,clock_hours,Acceptable with limitations,Gaussian residual-shape warning,Prediction bounds passed,WARN_GAUSSIAN_DIAGNOSTIC,WARN_REVIEW,1.730111046771095e-20,1.4589502838128328,0.0233837689133425,0.00687757909215955,,,,,,,,PASS,0,0
main__glasses__all_available,1,Main near-eye,Near eye,15,last_timing_above_250,timing-based,Last light timing above 250 lx melEDI,gaussian,clock_hours,Acceptable with limitations,Gaussian residual-shape warning,Prediction bounds passed,WARN_GAUSSIAN_DIAGNOSTIC,WARN_REVIEW,8.514648394931716e-12,3.089586054705343,0.01601164483260553,0,,,,,,,,PASS,0,0
main__glasses__all_available,1,Main near-eye,Near eye,16,dose_time_sensitive_corrected_medi,exposure-history-based,melEDI dose,gaussian,log10_offset_0.1,Acceptable with limitations,Gaussian residual-shape warning,No verified upper bound available,WARN_GAUSSIAN_DIAGNOSTIC,WARN_REVIEW,3.3296878278915923e-20,3.274681376840635,0.01314060446780551,0.00394218134034165,,,,,,,,UPPER_BOUND_UNAVAILABLE,0,
