                                 check pass
1    supp-table-s4_exact_retained_rows TRUE
2            supp-table-s4_notes_exact TRUE
3    supp-table-s7_exact_retained_rows TRUE
4            supp-table-s7_notes_exact TRUE
5    S7_one_continuous_17_metric_table TRUE
6       S7_deliberate_17_sample_breaks TRUE
7                       One_figure_S15 TRUE
8                       One_figure_S16 TRUE
9                       One_figure_S17 TRUE
10                      One_figure_S18 TRUE
11        S8_one_full_unchanged_figure TRUE
12 Every_image_source_exact_same_order TRUE
13                  Unique_element_ids TRUE
14        No_new_broken_internal_links TRUE
15              S4_FDR_family_retained TRUE
                                 check pass
1    supp-table-s4_exact_retained_rows TRUE
2            supp-table-s4_notes_exact TRUE
3    supp-table-s7_exact_retained_rows TRUE
4            supp-table-s7_notes_exact TRUE
5    S7_one_continuous_17_metric_table TRUE
6       S7_deliberate_17_sample_breaks TRUE
7                       One_figure_S15 TRUE
8                       One_figure_S16 TRUE
9                       One_figure_S17 TRUE
10                      One_figure_S18 TRUE
11        S8_one_full_unchanged_figure TRUE
12 Every_image_source_exact_same_order TRUE
13                  Unique_element_ids TRUE
14        No_new_broken_internal_links TRUE
15              S4_FDR_family_retained TRUE
