route,duplicate_multiset,ids
audit/H01/02_implementation_and_v0_comparison.html,"{""a::stub"": 5, ""Photoperiod"": 2, ""Latitude"": 2, ""Duration"": 4, ""stub_1_1"": 5, ""stub_1_2"": 5, ""stub_1_3"": 5, ""stub_1_4"": 5, ""stub_1_5"": 5, ""Dynamics"": 4, ""stub_1_6"": 5, ""stub_1_7"": 5, ""Exposure history"": 4, ""stub_1_8"": 5, ""Level"": 4, ""stub_1_9"": 5, ""stub_1_10"": 5, ""stub_1_11"": 5, ""Spectrum"": 4, ""stub_1_12"": 5, ""Timing"": 4, ""stub_1_13"": 5, ""stub_1_14"": 5, ""stub_1_15"": 5, ""stub_1_16"": 5, ""stub_1_17"": 5, ""Participants"": 2, ""Participant-days"": 2, ""Observations"": 2, ""Support-hours"": 2, ""Participant-associated"": 2, ""Model-R\u00b2"": 2, ""Fixed-effects-R\u00b2"": 2, ""Site-part-R\u00b2"": 2, ""Photoperiod-part-R\u00b2"": 2, ""Latitude-part-R\u00b2"": 2, ""Grand average"": 2, ""stub_1_18"": 3}",1381
audit/hypotheses/H01/H01_analysis_preparation 2.html,{},2418
audit/hypotheses/H01/H01_analysis_preparation.html,{},2477
audit/hypotheses/H02/H02_analysis_preparation.html,{},2412
audit/hypotheses/H03/H03_analysis_preparation 2.html,"{""Category"": 2, ""a::stub"": 10, ""Hours"": 7, ""stub_1_1"": 10, ""stub_1_2"": 10, ""Exact-zero-hours"": 2, ""Participants"": 5, ""Participant-days"": 6, ""Sites"": 5, ""Order"": 2, ""Near-eye"": 6, ""Chest"": 7, ""Component"": 2, ""Restrictions"": 2, ""Denominator-df"": 2, ""Wald-F"": 2, ""Raw-p"": 2, ""Status"": 2, ""Formula"": 2, ""Design-rank"": 3, ""Covariance-condition-number"": 2, ""Converged"": 3, ""Dispersion"": 2, ""Warnings"": 2, ""Working-power"": 3, ""Purpose"": 2, ""Placement"": 2, ""Boundary-spanning hours excluded"": 2, ""Gap-timing-unaware dataset"": 2, ""Paired near-eye/chest common sample"": 2, ""Quasi-Tweedie working power 1.30"": 2, ""Quasi-Tweedie working power 1.80"": 2, ""Unsupported site-category cells excluded"": 2, ""Within-/between-participant category terms"": 2}",3103
audit/hypotheses/H03/H03_analysis_preparation.html,{},3547
audit/hypotheses/H03-H11_gated_workflow.html,{},50
audit/hypotheses/H04/H04_analysis_preparation.html,{},4382
audit/hypotheses/H05/H05_analysis_preparation.html,{},3501
audit/hypotheses/H06/H06_analysis_preparation.html,{},2808
audit/hypotheses/H06_daily/H06_daily_analysis_preparation.html,{},585
audit/hypotheses/H07/H07_analysis_preparation.html,{},2002
audit/hypotheses/H08/H08_analysis_preparation.html,{},2463
audit/hypotheses/H09/H09_analysis_preparation.html,{},2112
audit/hypotheses/H10/H10_analysis_preparation.html,{},2076
audit/hypotheses/H11/H11_analysis_preparation.html,{},2393
audit/hypotheses/implementation_result_comparison_contract.html,{},44
index.html,{},601
notebooks/descriptives 2.html,"{""a::stub"": 3, ""Overall"": 2, ""RISE"": 2, ""THUAS"": 2, ""BAUA"": 2, ""MPI"": 2, ""TUM"": 2, ""FUSPCEU"": 2, ""IZTECH"": 2, ""UCR"": 2, ""KNUST"": 2, ""stub_1_1"": 3, ""stub_1_2"": 3, ""stub_1_3"": 3, ""stub_1_4"": 3, ""stub_1_5"": 3, ""stub_1_6"": 3, ""stub_1_7"": 3, ""stub_1_8"": 3, ""stub_1_9"": 3, ""stub_1_10"": 3, ""stub_1_11"": 3, ""stub_1_12"": 2, ""stub_1_13"": 2, ""stub_1_14"": 2, ""stub_1_15"": 2, ""stub_1_16"": 2, ""stub_1_17"": 2}",645
