route,attribute,target,valid
audit/H01/02_implementation_and_v0_comparison.html,aria-describedby,tbl-h01-claim-summary-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,True
audit/H01/02_implementation_and_v0_comparison.html,aria-describedby,tbl-h01-family-selection-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,True
audit/H01/02_implementation_and_v0_comparison.html,aria-describedby,fig-h01-family-diagnostics-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,True
audit/H01/02_implementation_and_v0_comparison.html,aria-describedby,fig-h01-l10-gate-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,True
audit/H01/02_implementation_and_v0_comparison.html,aria-describedby,tbl-h01-s2-tests-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,True
audit/H01/02_implementation_and_v0_comparison.html,aria-describedby,tbl-h01-s2-effects-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,True
audit/H01/02_implementation_and_v0_comparison.html,aria-describedby,tbl-h01-site-followups-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,True
audit/H01/02_implementation_and_v0_comparison.html,aria-describedby,fig-h01-v0-table-s2-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,True
audit/H01/02_implementation_and_v0_comparison.html,aria-describedby,tbl-h01-s3-r2-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,True
audit/H01/02_implementation_and_v0_comparison.html,aria-describedby,tbl-h01-s3-v0-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,True
audit/H01/02_implementation_and_v0_comparison.html,aria-describedby,fig-h01-v0-table-s3-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,True
audit/H01/02_implementation_and_v0_comparison.html,aria-describedby,tbl-h01-exact-samples-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,True
audit/H01/02_implementation_and_v0_comparison.html,aria-describedby,tbl-h01-sensitivity-support-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,True
audit/H01/02_implementation_and_v0_comparison.html,aria-describedby,fig-h01-s10-comparison-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,True
audit/H01/02_implementation_and_v0_comparison.html,aria-describedby,tbl-h01-bootstrap-pilot-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,True
audit/H01/02_implementation_and_v0_comparison.html,aria-labelledby,quarto-embedded-source-code-modal-label,True
audit/hypotheses/H01/H01_analysis_preparation 2.html,aria-labelledby,nav-menu-study--data,True
audit/hypotheses/H01/H01_analysis_preparation 2.html,aria-labelledby,nav-menu-environment,True
audit/hypotheses/H01/H01_analysis_preparation 2.html,aria-labelledby,nav-menu-behaviour--time,True
audit/hypotheses/H01/H01_analysis_preparation 2.html,aria-labelledby,nav-menu-individual-factors,True
audit/hypotheses/H01/H01_analysis_preparation 2.html,aria-labelledby,nav-menu-supporting-material,True
