category,path,baseline_sha256,expected_sha256,actual_sha256,bytes,authorized_transition,retired,exact
accepted016:release_pin,audit/report_harmonization/final_documents_2026_09_13/site_a4_delta_promotion_order_016.md,93d5f8afd2579fbd93b3fb07bd906b7ca3cf9a9f7c64d96fd3b8fd9d022a0f5c,93d5f8afd2579fbd93b3fb07bd906b7ca3cf9a9f7c64d96fd3b8fd9d022a0f5c,93d5f8afd2579fbd93b3fb07bd906b7ca3cf9a9f7c64d96fd3b8fd9d022a0f5c,9699,False,False,True
accepted016:release_pin,audit/report_harmonization/final_documents_2026_09_13/site_a4_delta_promotion_order_016_dispatch_manifest.csv,90d5759e5862ae86541a69bb3af129a1bc48d8983a8912afdd8d958fed192546,90d5759e5862ae86541a69bb3af129a1bc48d8983a8912afdd8d958fed192546,90d5759e5862ae86541a69bb3af129a1bc48d8983a8912afdd8d958fed192546,10136,False,False,True
accepted016:release_pin,audit/report_harmonization/final_documents_2026_09_13/site015a_candidate_independent_acceptance.md,8f04a34880a5d8e280a2171e08cad97fa6a11e785e31e16f7a97f108cc38daa9,8f04a34880a5d8e280a2171e08cad97fa6a11e785e31e16f7a97f108cc38daa9,8f04a34880a5d8e280a2171e08cad97fa6a11e785e31e16f7a97f108cc38daa9,7336,False,False,True
accepted016:release_pin,audit/report_harmonization/final_documents_2026_09_13/site015a_candidate_independent_acceptance_manifest.csv,c20a7026033021acee1fcadcfccab37c99ea867e8913db87e73fbf68534c5ac5,c20a7026033021acee1fcadcfccab37c99ea867e8913db87e73fbf68534c5ac5,c20a7026033021acee1fcadcfccab37c99ea867e8913db87e73fbf68534c5ac5,10850,False,False,True
accepted016:site_a4_delta_promotion_order_016_dispatch_manifest.csv,_build/nathealth/editable_tables/Table_S4.docx,3900fad5fe5bfc306d99f242b8b30f2d9297a9f2351b48d469ef1d3909896c4a,3900fad5fe5bfc306d99f242b8b30f2d9297a9f2351b48d469ef1d3909896c4a,3900fad5fe5bfc306d99f242b8b30f2d9297a9f2351b48d469ef1d3909896c4a,57084,False,False,True
accepted016:site_a4_delta_promotion_order_016_dispatch_manifest.csv,_build/nathealth/editable_tables/Table_S7.docx,682fe317fb1a77b53483e203b05a1410e41816956fbca304b9bfd1e1878ec184,682fe317fb1a77b53483e203b05a1410e41816956fbca304b9bfd1e1878ec184,682fe317fb1a77b53483e203b05a1410e41816956fbca304b9bfd1e1878ec184,59442,False,False,True
accepted016:site_a4_delta_promotion_order_016_dispatch_manifest.csv,_build/nathealth/index.html,af87852a1a5e2e5739eb87870fafcf0166e6c79e262c6e1f1f0eb9f3eed7e651,56d2d707fe817c6b53db48100339b8afb99a3d665ab78b74ee0b1aeba106df7c,56d2d707fe817c6b53db48100339b8afb99a3d665ab78b74ee0b1aeba106df7c,25365194,True,False,True
accepted016:site_a4_delta_promotion_order_016_dispatch_manifest.csv,_build/nathealth/search.json,aef05e5b12417168a526ee35250cfc894fd3fb069769e4687b8a26bf477ef0cd,7e1ad6a522d130e9990195adb05018e4a6c5fe19c4673834ee5c4f524deb36b3,7e1ad6a522d130e9990195adb05018e4a6c5fe19c4673834ee5c4f524deb36b3,2345151,True,False,True
accepted016:site_a4_delta_promotion_order_016_dispatch_manifest.csv,_build/nathealth/supplementary_information.html,0a1da925d6bb63d2be7139ddcf0c511fb2c5ba10eacf2d340cfed6e61ee8b286,47d0b7beecf5947a6ea262bf8ab2ffc2031579502ba095c33ecad17a871eb286,47d0b7beecf5947a6ea262bf8ab2ffc2031579502ba095c33ecad17a871eb286,15631621,True,False,True
accepted016:site_a4_delta_promotion_order_016_dispatch_manifest.csv,_build/nathealth/ZaunerEtAl2026_NatHealth_phase3_brown.docx,6f0ce7a50b608f91d24c31ae0b9b0edefe15828ed4f966732ea616c6e395a570,6f0ce7a50b608f91d24c31ae0b9b0edefe15828ed4f966732ea616c6e395a570,6f0ce7a50b608f91d24c31ae0b9b0edefe15828ed4f966732ea616c6e395a570,14377373,False,False,True
accepted016:site_a4_delta_promotion_order_016_dispatch_manifest.csv,audit/report_harmonization/final_documents_2026_09_13/final_site_promotion_order_013.md,6c5003debe69f12deb854a28fee72f12f656fe90dec9a546ebc9d5f7e59d0741,6c5003debe69f12deb854a28fee72f12f656fe90dec9a546ebc9d5f7e59d0741,6c5003debe69f12deb854a28fee72f12f656fe90dec9a546ebc9d5f7e59d0741,7312,False,False,True
accepted016:site_a4_delta_promotion_order_016_dispatch_manifest.csv,audit/report_harmonization/final_documents_2026_09_13/seal_site015a_acceptance_and_order016.R,a24820f59c945497de8664a7159a82c6153af24c64c31cffcdb192d666c3d7c1,a24820f59c945497de8664a7159a82c6153af24c64c31cffcdb192d666c3d7c1,a24820f59c945497de8664a7159a82c6153af24c64c31cffcdb192d666c3d7c1,9799,False,False,True
accepted016:site_a4_delta_promotion_order_016_dispatch_manifest.csv,audit/report_harmonization/final_documents_2026_09_13/site_a4_delta_promotion_order_016.md,93d5f8afd2579fbd93b3fb07bd906b7ca3cf9a9f7c64d96fd3b8fd9d022a0f5c,93d5f8afd2579fbd93b3fb07bd906b7ca3cf9a9f7c64d96fd3b8fd9d022a0f5c,93d5f8afd2579fbd93b3fb07bd906b7ca3cf9a9f7c64d96fd3b8fd9d022a0f5c,9699,False,False,True
accepted016:site_a4_delta_promotion_order_016_dispatch_manifest.csv,audit/report_harmonization/final_documents_2026_09_13/site_delta_candidate_order_015_target_matrix.csv,20c3c32eb1fea17c0cc96a9731c0f4b208a46c5f293c9707ce4c7299646a9af6,20c3c32eb1fea17c0cc96a9731c0f4b208a46c5f293c9707ce4c7299646a9af6,20c3c32eb1fea17c0cc96a9731c0f4b208a46c5f293c9707ce4c7299646a9af6,2028,False,False,True
accepted016:site_a4_delta_promotion_order_016_dispatch_manifest.csv,audit/report_harmonization/final_documents_2026_09_13/site_verifier_recovery_order_015a.md,d81a8759b88844452b94c738e14ccc5ff717d9097d7478a6ce32df6d93b014cd,d81a8759b88844452b94c738e14ccc5ff717d9097d7478a6ce32df6d93b014cd,d81a8759b88844452b94c738e14ccc5ff717d9097d7478a6ce32df6d93b014cd,9497,False,False,True
accepted016:site_a4_delta_promotion_order_016_dispatch_manifest.csv,audit/report_harmonization/final_documents_2026_09_13/site013_independent_completion_acceptance.md,12fe2aa14bfa16296398436a7102d58f5fac8742d0e9076e4e404dae877eb081,12fe2aa14bfa16296398436a7102d58f5fac8742d0e9076e4e404dae877eb081,12fe2aa14bfa16296398436a7102d58f5fac8742d0e9076e4e404dae877eb081,3407,False,False,True
accepted016:site_a4_delta_promotion_order_016_dispatch_manifest.csv,audit/report_harmonization/final_documents_2026_09_13/site015a_candidate_independent_acceptance_manifest.csv,c20a7026033021acee1fcadcfccab37c99ea867e8913db87e73fbf68534c5ac5,c20a7026033021acee1fcadcfccab37c99ea867e8913db87e73fbf68534c5ac5,c20a7026033021acee1fcadcfccab37c99ea867e8913db87e73fbf68534c5ac5,10850,False,False,True
accepted016:site_a4_delta_promotion_order_016_dispatch_manifest.csv,audit/report_harmonization/final_documents_2026_09_13/site015a_candidate_independent_acceptance.md,8f04a34880a5d8e280a2171e08cad97fa6a11e785e31e16f7a97f108cc38daa9,8f04a34880a5d8e280a2171e08cad97fa6a11e785e31e16f7a97f108cc38daa9,8f04a34880a5d8e280a2171e08cad97fa6a11e785e31e16f7a97f108cc38daa9,7336,False,False,True
accepted016:site_a4_delta_promotion_order_016_dispatch_manifest.csv,audit/report_harmonization/final_documents_2026_09_13/site015a_final_independent/independent_R/summary.json,83aebf32508aa8eef3a4e14cdc0f34febbb4c95301e9e44b722064ffe4150986,83aebf32508aa8eef3a4e14cdc0f34febbb4c95301e9e44b722064ffe4150986,83aebf32508aa8eef3a4e14cdc0f34febbb4c95301e9e44b722064ffe4150986,520,False,False,True
accepted016:site_a4_delta_promotion_order_016_dispatch_manifest.csv,audit/report_harmonization/final_documents_2026_09_13/site015a_final_independent/postflight.json,a686b147ff6758493c38f7ea5489a98e4c678b6a8660db3f9f88bcc9fe0a7f97,a686b147ff6758493c38f7ea5489a98e4c678b6a8660db3f9f88bcc9fe0a7f97,a686b147ff6758493c38f7ea5489a98e4c678b6a8660db3f9f88bcc9fe0a7f97,342,False,False,True
accepted016:site_a4_delta_promotion_order_016_dispatch_manifest.csv,audit/report_harmonization/final_documents_2026_09_13/writer012_014_final_independent_acceptance_manifest.csv,131c6c2afd6bbedc350bb82dc7a2a055d62403eb46b5c3e8038724d7084cf0ae,131c6c2afd6bbedc350bb82dc7a2a055d62403eb46b5c3e8038724d7084cf0ae,131c6c2afd6bbedc350bb82dc7a2a055d62403eb46b5c3e8038724d7084cf0ae,11243,False,False,True
accepted016:site_a4_delta_promotion_order_016_dispatch_manifest.csv,audit/report_harmonization/final_documents_2026_09_13/writer012_014_final_independent_acceptance.md,e293454bcaa08839a1a7b18702eff9a182228768b925862b67ef91a16b5b97e8,e293454bcaa08839a1a7b18702eff9a182228768b925862b67ef91a16b5b97e8,e293454bcaa08839a1a7b18702eff9a182228768b925862b67ef91a16b5b97e8,4093,False,False,True
accepted016:site_a4_delta_promotion_order_016_dispatch_manifest.csv,audit/report_harmonization/final_site_a4_delta_2026_09_14/candidate_build/editable_tables/Table_S4.docx,3900fad5fe5bfc306d99f242b8b30f2d9297a9f2351b48d469ef1d3909896c4a,3900fad5fe5bfc306d99f242b8b30f2d9297a9f2351b48d469ef1d3909896c4a,3900fad5fe5bfc306d99f242b8b30f2d9297a9f2351b48d469ef1d3909896c4a,57084,False,False,True
accepted016:site_a4_delta_promotion_order_016_dispatch_manifest.csv,audit/report_harmonization/final_site_a4_delta_2026_09_14/candidate_build/editable_tables/Table_S7.docx,682fe317fb1a77b53483e203b05a1410e41816956fbca304b9bfd1e1878ec184,682fe317fb1a77b53483e203b05a1410e41816956fbca304b9bfd1e1878ec184,682fe317fb1a77b53483e203b05a1410e41816956fbca304b9bfd1e1878ec184,59442,False,False,True
accepted016:site_a4_delta_promotion_order_016_dispatch_manifest.csv,audit/report_harmonization/final_site_a4_delta_2026_09_14/candidate_build/index.html,af87852a1a5e2e5739eb87870fafcf0166e6c79e262c6e1f1f0eb9f3eed7e651,af87852a1a5e2e5739eb87870fafcf0166e6c79e262c6e1f1f0eb9f3eed7e651,af87852a1a5e2e5739eb87870fafcf0166e6c79e262c6e1f1f0eb9f3eed7e651,25367739,False,False,True
