owner,reference,kind
audit/H01/02_implementation_and_v0_comparison.html,https://github.com/tscnlab/ZaunerEtAl_bioRxiv_2026/edit/main/notebooks/hypotheses/H01.qmd,a@href
audit/H01/02_implementation_and_v0_comparison.html,https://github.com/tscnlab/ZaunerEtAl_bioRxiv_2026/issues,a@href
audit/hypotheses/H01/H01_analysis_preparation 2.html,https://github.com/tscnlab/ZaunerEtAl_bioRxiv_2026,a@href
audit/hypotheses/H01/H01_analysis_preparation 2.html,https://github.com/tscnlab/ZaunerEtAl_bioRxiv_2026/issues,a@href
audit/hypotheses/H01/H01_analysis_preparation 2.html,https://github.com/MeLiDosProject,a@href
audit/hypotheses/H01/H01_analysis_preparation 2.html,https://github.com/tscnlab/ZaunerEtAl_bioRxiv_2026/edit/main/audit/hypotheses/H01/H01_analysis_preparation.qmd,a@href
audit/hypotheses/H01/H01_analysis_preparation 2.html,javascript:void(0),a@href
audit/hypotheses/H01/H01_analysis_preparation.html,https://github.com/tscnlab/ZaunerEtAl_bioRxiv_2026,a@href
audit/hypotheses/H01/H01_analysis_preparation.html,https://github.com/tscnlab/ZaunerEtAl_bioRxiv_2026/issues,a@href
audit/hypotheses/H01/H01_analysis_preparation.html,https://github.com/MeLiDosProject,a@href
audit/hypotheses/H01/H01_analysis_preparation.html,https://github.com/tscnlab/ZaunerEtAl_bioRxiv_2026/edit/main/audit/hypotheses/H01/H01_analysis_preparation.qmd,a@href
audit/hypotheses/H01/H01_analysis_preparation.html,javascript:void(0),a@href
audit/hypotheses/H02/H02_analysis_preparation.html,https://cdn.jsdelivr.net/npm/katex@latest/dist/katex.min.js,script@src
audit/hypotheses/H02/H02_analysis_preparation.html,https://cdn.jsdelivr.net/npm/katex@latest/dist/katex.min.css,link@href
audit/hypotheses/H02/H02_analysis_preparation.html,https://github.com/tscnlab/ZaunerEtAl_bioRxiv_2026,a@href
audit/hypotheses/H02/H02_analysis_preparation.html,https://github.com/tscnlab/ZaunerEtAl_bioRxiv_2026/issues,a@href
audit/hypotheses/H02/H02_analysis_preparation.html,https://github.com/MeLiDosProject,a@href
audit/hypotheses/H02/H02_analysis_preparation.html,https://github.com/tscnlab/ZaunerEtAl_bioRxiv_2026/edit/main/audit/hypotheses/H02/H02_analysis_preparation.qmd,a@href
audit/hypotheses/H02/H02_analysis_preparation.html,javascript:void(0),a@href
audit/hypotheses/H03-H11_gated_workflow.html,https://github.com/tscnlab/ZaunerEtAl_bioRxiv_2026/edit/main/audit/hypotheses/H03-H11_gated_workflow.qmd,a@href
audit/hypotheses/H03-H11_gated_workflow.html,https://github.com/tscnlab/ZaunerEtAl_bioRxiv_2026/issues,a@href
audit/hypotheses/H03/H03_analysis_preparation 2.html,javascript:void(0),a@href
audit/hypotheses/H03/H03_analysis_preparation.html,https://github.com/tscnlab/ZaunerEtAl_bioRxiv_2026,a@href
audit/hypotheses/H03/H03_analysis_preparation.html,https://github.com/tscnlab/ZaunerEtAl_bioRxiv_2026/issues,a@href
audit/hypotheses/H03/H03_analysis_preparation.html,https://github.com/MeLiDosProject,a@href
audit/hypotheses/H03/H03_analysis_preparation.html,https://github.com/tscnlab/ZaunerEtAl_bioRxiv_2026/edit/main/audit/hypotheses/H03/H03_analysis_preparation.qmd,a@href
audit/hypotheses/H03/H03_analysis_preparation.html,javascript:void(0),a@href
audit/hypotheses/H04/H04_analysis_preparation.html,https://cdn.jsdelivr.net/npm/katex@latest/dist/katex.min.js,script@src
audit/hypotheses/H04/H04_analysis_preparation.html,https://cdn.jsdelivr.net/npm/katex@latest/dist/katex.min.css,link@href
audit/hypotheses/H04/H04_analysis_preparation.html,https://github.com/tscnlab/ZaunerEtAl_bioRxiv_2026,a@href
audit/hypotheses/H04/H04_analysis_preparation.html,https://github.com/tscnlab/ZaunerEtAl_bioRxiv_2026/issues,a@href
audit/hypotheses/H04/H04_analysis_preparation.html,https://github.com/MeLiDosProject,a@href
audit/hypotheses/H04/H04_analysis_preparation.html,https://github.com/tscnlab/ZaunerEtAl_bioRxiv_2026/edit/main/audit/hypotheses/H04/H04_analysis_preparation.qmd,a@href
audit/hypotheses/H04/H04_analysis_preparation.html,javascript:void(0),a@href
audit/hypotheses/H04/H04_analysis_preparation.html,https://easystats.github.io/insight/reference/get_variance.html,a@href
audit/hypotheses/H04/H04_analysis_preparation.html,https://rdrr.io/pkg/mgcv/man/bam.html,a@href
audit/hypotheses/H05/H05_analysis_preparation.html,https://github.com/tscnlab/ZaunerEtAl_bioRxiv_2026,a@href
audit/hypotheses/H05/H05_analysis_preparation.html,https://github.com/tscnlab/ZaunerEtAl_bioRxiv_2026/issues,a@href
audit/hypotheses/H05/H05_analysis_preparation.html,https://github.com/MeLiDosProject,a@href
audit/hypotheses/H05/H05_analysis_preparation.html,https://github.com/tscnlab/ZaunerEtAl_bioRxiv_2026/edit/main/audit/hypotheses/H05/H05_analysis_preparation.qmd,a@href
audit/hypotheses/H05/H05_analysis_preparation.html,javascript:void(0),a@href
audit/hypotheses/H06/H06_analysis_preparation.html,https://github.com/tscnlab/ZaunerEtAl_bioRxiv_2026,a@href
audit/hypotheses/H06/H06_analysis_preparation.html,https://github.com/tscnlab/ZaunerEtAl_bioRxiv_2026/issues,a@href
audit/hypotheses/H06/H06_analysis_preparation.html,https://github.com/MeLiDosProject,a@href
