source,changed_fields,historical_source_hash_retained
index.qmd,html_sha256|render_position,True
supplementary_information.qmd,html_sha256|render_position,True
notebooks/preparation/01_import_state_alignment.qmd,html_sha256,True
notebooks/preparation/02_coverage_sample_flow.qmd,html_sha256,True
notebooks/preparation/03_reference_profiles.qmd,html_sha256,True
notebooks/preparation/04_metric_derivation.qmd,html_sha256,True
notebooks/preparation/05_model_input_acquisition.qmd,html_sha256,True
notebooks/preparation/06_model_ready_datasets.qmd,html_sha256,True
notebooks/preparation/07_example_days.qmd,html_sha256,True
notebooks/placement_decision.qmd,html_sha256,True
notebooks/descriptives.qmd,html_sha256,True
notebooks/preregistration_deviations.qmd,html_sha256,True
notebooks/hypotheses/H01.qmd,html_sha256,True
audit/hypotheses/H01/H01_analysis_preparation.qmd,html_sha256,True
notebooks/hypotheses/H02.qmd,html_sha256,True
audit/hypotheses/H02/H02_analysis_preparation.qmd,html_sha256,True
notebooks/hypotheses/H03.qmd,html_sha256,True
audit/hypotheses/H03/H03_analysis_preparation.qmd,html_sha256,True
notebooks/hypotheses/H04.qmd,html_sha256,True
audit/hypotheses/H04/H04_analysis_preparation.qmd,html_sha256,True
notebooks/hypotheses/H05.qmd,html_sha256,True
audit/hypotheses/H05/H05_analysis_preparation.qmd,html_sha256,True
notebooks/hypotheses/H06.qmd,html_sha256,True
audit/hypotheses/H06/H06_analysis_preparation.qmd,html_sha256,True
notebooks/hypotheses/H06_daily.qmd,html_sha256,True
audit/hypotheses/H06_daily/H06_daily_analysis_preparation.qmd,html_sha256,True
notebooks/hypotheses/H07.qmd,html_sha256,True
audit/hypotheses/H07/H07_analysis_preparation.qmd,html_sha256,True
notebooks/hypotheses/H08.qmd,html_sha256,True
audit/hypotheses/H08/H08_analysis_preparation.qmd,html_sha256,True
notebooks/hypotheses/H09.qmd,html_sha256,True
audit/hypotheses/H09/H09_analysis_preparation.qmd,html_sha256,True
notebooks/hypotheses/H10.qmd,html_sha256,True
audit/hypotheses/H10/H10_analysis_preparation.qmd,html_sha256,True
notebooks/hypotheses/H11.qmd,html_sha256,True
audit/hypotheses/H11/H11_analysis_preparation.qmd,html_sha256,True
