"endpoint","table_id","source_line"
"tbl-implementation-contract","measurement",56
"tbl-implementation-samples","samples",65
"tbl-implementation-support","support",74
"tbl-implementation-components","model_components",99
"tbl-implementation-routes","routes",108
"tbl-implementation-levels","levels",122
"tbl-implementation-primary","primary",131
"tbl-implementation-interactions","interactions",140
"tbl-implementation-compact","compact",149
"tbl-implementation-families","multiplicity",158
"tbl-implementation-localizations","localizations",167
"tbl-implementation-endpoints","endpoints",181
"tbl-implementation-coverage","coverage",190
"tbl-implementation-diagnostics","diagnostics",199
"tbl-implementation-sensitivities","sensitivities",213
"tbl-implementation-family-status","family_status",222
"tbl-implementation-weighting","weighting",231
"tbl-implementation-grouping","grouping",240
"tbl-implementation-temporal-routes","temporal_routes",254
"tbl-implementation-temporal-residuals","temporal_residuals",263
"tbl-implementation-chest","chest",275
"tbl-implementation-random","random",287
"tbl-implementation-r2","r2",296
"tbl-implementation-shapley-global","shapley_global",305
"tbl-implementation-shapley-within","shapley_within",314
"tbl-implementation-reuse","pair_eligibility",328
"tbl-implementation-artifacts","artifacts",360
"tbl-implementation-environment","environment",369
