"endpoint","source_path","source_sha256","rows","columns","row_shape","column_shape","all_cells_match","input_unchanged"
"tbl-implementation-contract","/Users/zauner/.codex/worktrees/82ab/ZaunerEtAl_bioRxiv_2026/audit/analyses/brown_adherence/main_linkage_b_amendment/stage3/source_data/table_measurement_source.csv","1692e746af4e9bf015163f782200c69c19c088f2215359ff7ddb0e38c113d65e",8,3,TRUE,TRUE,TRUE,TRUE
"tbl-implementation-samples","/Users/zauner/.codex/worktrees/82ab/ZaunerEtAl_bioRxiv_2026/audit/analyses/brown_adherence/main_linkage_b_amendment/stage3/source_data/table_samples_source.csv","9d9b2f3625fbb41ad78d387b9368f4d3320a777d329d54797d055695204450a4",2,5,TRUE,TRUE,TRUE,TRUE
"tbl-implementation-support","/Users/zauner/.codex/worktrees/82ab/ZaunerEtAl_bioRxiv_2026/audit/analyses/brown_adherence/main_linkage_b_amendment/stage3/source_data/table_support_source.csv","d3df54830d89b6d4fc9a48af585cb67add7077f38a84de054d5bc999f3baf9b3",108,12,TRUE,TRUE,TRUE,TRUE
"tbl-implementation-components","/Users/zauner/.codex/worktrees/82ab/ZaunerEtAl_bioRxiv_2026/audit/analyses/brown_adherence/main_linkage_b_amendment/stage3/source_data/table_model_components_source.csv","4d36de15230b53b416fcfb8c7f7beddc8175949ccf9e74c323bdbaddb1606d5b",6,4,TRUE,TRUE,TRUE,TRUE
"tbl-implementation-routes","/Users/zauner/.codex/worktrees/82ab/ZaunerEtAl_bioRxiv_2026/audit/analyses/brown_adherence/main_linkage_b_amendment/stage3/source_data/table_routes_source.csv","97af1dbc50e5a79833e26432e336a7643ed35f6fe2abf6ac3ad24d87dbb2a205",35,5,TRUE,TRUE,TRUE,TRUE
"tbl-implementation-levels","/Users/zauner/.codex/worktrees/82ab/ZaunerEtAl_bioRxiv_2026/audit/analyses/brown_adherence/main_linkage_b_amendment/stage3/source_data/table_levels_source.csv","5ce0008819ba241c23682e87554fed9807da157237b7b36e4dc64521976fa326",12,4,TRUE,TRUE,TRUE,TRUE
"tbl-implementation-primary","/Users/zauner/.codex/worktrees/82ab/ZaunerEtAl_bioRxiv_2026/audit/analyses/brown_adherence/main_linkage_b_amendment/stage3/source_data/table_primary_source.csv","90500204c488451d053c0db35f6c595e5ea8cd851d0899867c3ec439934fa924",6,5,TRUE,TRUE,TRUE,TRUE
"tbl-implementation-interactions","/Users/zauner/.codex/worktrees/82ab/ZaunerEtAl_bioRxiv_2026/audit/analyses/brown_adherence/main_linkage_b_amendment/stage3/source_data/table_interactions_source.csv","df3605b3e29408fb6fa463c9ea2635d0c77f52f15eb927fd1b47c8836a8721a8",8,6,TRUE,TRUE,TRUE,TRUE
"tbl-implementation-compact","/Users/zauner/.codex/worktrees/82ab/ZaunerEtAl_bioRxiv_2026/audit/analyses/brown_adherence/main_linkage_b_amendment/stage3/source_data/table_compact_source.csv","bda11ec1c6eeff0c7be6472b39395a77832cd89735551c48d6f515b265e9c75b",11,7,TRUE,TRUE,TRUE,TRUE
"tbl-implementation-families","/Users/zauner/.codex/worktrees/82ab/ZaunerEtAl_bioRxiv_2026/audit/analyses/brown_adherence/main_linkage_b_amendment/stage3/source_data/table_multiplicity_source.csv","334ef999c492536d3972ad0f5aee515ecb31c2ef5ea6ea1fe9843714ea85d313",7,4,TRUE,TRUE,TRUE,TRUE
"tbl-implementation-localizations","/Users/zauner/.codex/worktrees/82ab/ZaunerEtAl_bioRxiv_2026/audit/analyses/brown_adherence/main_linkage_b_amendment/stage3/source_data/table_localizations_source.csv","4c8bac6177876fe770f9c951fca0bd98baf5a0444027925fcdfe4a63b3281c1e",27,7,TRUE,TRUE,TRUE,TRUE
"tbl-implementation-endpoints","/Users/zauner/.codex/worktrees/82ab/ZaunerEtAl_bioRxiv_2026/audit/analyses/brown_adherence/main_linkage_b_amendment/stage3/source_data/table_endpoints_source.csv","0967c6716cd2214b610060eca7e05dbdf387f0b920a661baf287583def9de133",12,8,TRUE,TRUE,TRUE,TRUE
"tbl-implementation-coverage","/Users/zauner/.codex/worktrees/82ab/ZaunerEtAl_bioRxiv_2026/audit/analyses/brown_adherence/main_linkage_b_amendment/stage3/source_data/table_coverage_source.csv","e78f6aa1d9c480de241dfa03a6df5617d5b398fef4c8bb36e8e58348546a0387",3,7,TRUE,TRUE,TRUE,TRUE
"tbl-implementation-diagnostics","/Users/zauner/.codex/worktrees/82ab/ZaunerEtAl_bioRxiv_2026/audit/analyses/brown_adherence/main_linkage_b_amendment/stage3/source_data/table_diagnostics_source.csv","902e5e6ae21f0fb0c64842e728b9f3c57baffaddf0ce6b611e0238c1cd8d335f",20,4,TRUE,TRUE,TRUE,TRUE
"tbl-implementation-sensitivities","/Users/zauner/.codex/worktrees/82ab/ZaunerEtAl_bioRxiv_2026/audit/analyses/brown_adherence/main_linkage_b_amendment/stage3/source_data/table_sensitivities_source.csv","fd1e58f1d9f3ed665eeedcf61ee54e65d6ffc2abc7819319bd7fd7a446287aef",86,7,TRUE,TRUE,TRUE,TRUE
"tbl-implementation-family-status","/Users/zauner/.codex/worktrees/82ab/ZaunerEtAl_bioRxiv_2026/audit/analyses/brown_adherence/main_linkage_b_amendment/stage3/source_data/table_family_status_source.csv","3481e4610b9ab2dbeab49e890c793355816f7b887f456adf37ca81d4cb511989",4,5,TRUE,TRUE,TRUE,TRUE
