capture_id	utc_time_2026_09_14	viewport_width_css_px	route	label	image_bytes	status
1	11:48:06.778	1440	index	T3-desktop-right-lower	313270	CAPTURE
2	11:48:06.880	1440	index	F2-desktop	207427	CAPTURE
3	11:48:06.982	1440	index	F3-desktop	205632	INVALID
4	11:49:06.125	1440	index	F3-desktop-lower-caption	262749	CAPTURE
5	11:49:07.568	1440	index	T1-desktop	246452	CAPTURE
6	11:49:12.679	1440	index	T2-desktop-left	260034	CAPTURE
7	11:49:34.694	1440	index	T2-desktop-right	247244	CAPTURE
8	11:49:35.926	1440	SI	SI-desktop-downloads	150323	CAPTURE
9	11:51:23.236	1440	SI	S1-table-desktop	173188	CAPTURE
10	11:51:24.192	1440	SI	S2-table-desktop-left-upper	219473	CAPTURE
11	11:51:25.292	1440	SI	S2-table-desktop-right-upper	211146	CAPTURE
12	11:51:46.952	1440	SI	S2-table-desktop-right-lower	198653	CAPTURE
13	11:51:48.068	1440	SI	S2-table-desktop-left-lower	234070	CAPTURE
14	11:51:49.032	1440	SI	S3-table-desktop	241151	CAPTURE
15	11:52:15.362	1440	SI	fig-s1-desktop	193436	CAPTURE
16	11:52:16.318	1440	SI	fig-s2-desktop	144974	CAPTURE
17	11:52:17.273	1440	SI	fig-s3-desktop	117851	CAPTURE
18	11:52:18.228	1440	SI	fig-s4-desktop	110877	CAPTURE
19	11:52:41.288	1440	SI	S5-desktop-upper	102449	CAPTURE
20	11:52:42.392	1440	SI	S5-desktop-lower	134216	CAPTURE
21	11:52:43.493	1440	SI	S5-caption-S4-table-desktop	208734	CAPTURE
22	11:52:44.449	1440	SI	S6-desktop	161956	CAPTURE
23	11:53:08.381	1440	SI	S5-S6-tables-desktop	209765	CAPTURE
24	11:53:09.339	1440	SI	S7-figure-desktop-upper	144728	CAPTURE
25	11:53:10.457	1440	SI	S7-figure-desktop-middle	152508	CAPTURE
26	11:53:11.567	1440	SI	S7-caption-table-upper-desktop	156665	CAPTURE
27	11:57:51.001	1440	SI	S7-table-desktop-lower	180478	CAPTURE
28	11:57:51.959	1440	SI	S8-table-desktop	196223	CAPTURE
29	11:57:52.920	1440	SI	S8-figure-desktop-upper	186487	CAPTURE
30	11:58:19.067	1440	SI	S8-figure-caption-desktop	124229	CAPTURE
31	11:58:20.024	1440	SI	S9-figure-desktop	118119	CAPTURE
32	11:58:20.979	1440	SI	S10-figure-desktop	165198	CAPTURE
33	11:58:49.300	1440	SI	S11-figure-desktop	167929	CAPTURE
34	11:58:50.255	1440	SI	S12-figure-desktop	165512	CAPTURE
