logical_order,role,source,historical_source_sha256,current_source_sha256,source_matches_historical,source_matches_12sep_audit,expected_html,historical_html_sha256,current_html_sha256,html_matches_historical,prior_authority_class,prior_authority_record,prior_authority_gap,candidate_html_sha256,delivery_authority,fresh_source_render,source_gap_preserved
1,shared,index.qmd,86766c377e7ee1dcfea6b1ada8704b04320bbc231630c4044cd9c9d93aa0bf80,86766c377e7ee1dcfea6b1ada8704b04320bbc231630c4044cd9c9d93aa0bf80,True,True,_build/nathealth/index.html,9c1beea41a0b203b8a8b032eade2ba7e4ab5067857d39e296a8503231af46eec,9c1beea41a0b203b8a8b032eade2ba7e4ab5067857d39e296a8503231af46eec,True,,,,588bf4f60c7e1ca9cf409e86696632b8a14cc9d79e8aecf2aa105c8190b7cdd2,Accepted C HTML plus reversible static website slots under Order011,False,False
2,shared,supplementary_information.qmd,8d013e4d37ca5ff438988e82907a26d65b98a9a47cc2d62ec3ddcd0e2b3862fa,8d013e4d37ca5ff438988e82907a26d65b98a9a47cc2d62ec3ddcd0e2b3862fa,True,True,_build/nathealth/supplementary_information.html,4f80761abfa29148d50c4d9c60754c19625de6d0e8505b29530901ed3204e7cd,4f80761abfa29148d50c4d9c60754c19625de6d0e8505b29530901ed3204e7cd,True,,,,649bbc1796cad3bbd2ff1b372a46599a297cef98e3a338b4985824bb5764c53e,Accepted C HTML plus reversible static website slots under Order011,False,False
3,preparation,notebooks/preparation/01_import_state_alignment.qmd,93869fb2fffb17474ada3126f48ad8ce788079b151840e4b362f6a7974977872,93869fb2fffb17474ada3126f48ad8ce788079b151840e4b362f6a7974977872,True,True,_build/nathealth/notebooks/preparation/01_import_state_alignment.html,c484d5bbe2f05cc4d8893b9daf379a00563ab73cd53b533a7544aa9f01020589,c484d5bbe2f05cc4d8893b9daf379a00563ab73cd53b533a7544aa9f01020589,True,,,,c484d5bbe2f05cc4d8893b9daf379a00563ab73cd53b533a7544aa9f01020589,Exact historical accepted delivered HTML,False,False
4,preparation,notebooks/preparation/02_coverage_sample_flow.qmd,572173e119c9e8faac93fd61687d3a209d470742dbd82efe44a12ac87e6275fd,572173e119c9e8faac93fd61687d3a209d470742dbd82efe44a12ac87e6275fd,True,True,_build/nathealth/notebooks/preparation/02_coverage_sample_flow.html,c0f79f9191135222d69c4361922f49030a2458332daa3d73cc90ccb2618d0541,c0f79f9191135222d69c4361922f49030a2458332daa3d73cc90ccb2618d0541,True,,,,c0f79f9191135222d69c4361922f49030a2458332daa3d73cc90ccb2618d0541,Exact historical accepted delivered HTML,False,False
5,preparation,notebooks/preparation/03_reference_profiles.qmd,4ec7a6880591157eefe969e85d7b2adf7c22690fafaf434f715af944a7906504,4ec7a6880591157eefe969e85d7b2adf7c22690fafaf434f715af944a7906504,True,True,_build/nathealth/notebooks/preparation/03_reference_profiles.html,8746cb53e2cc596533e719caa3a1bbdd69a80693d470628b55eeb85d30a77353,8746cb53e2cc596533e719caa3a1bbdd69a80693d470628b55eeb85d30a77353,True,,,,8746cb53e2cc596533e719caa3a1bbdd69a80693d470628b55eeb85d30a77353,Exact historical accepted delivered HTML,False,False
6,preparation,notebooks/preparation/04_metric_derivation.qmd,6b7239ca32ecc6e75b993115f74fa2a42781ddded98ebf9ce94f2202777086d4,6b7239ca32ecc6e75b993115f74fa2a42781ddded98ebf9ce94f2202777086d4,True,True,_build/nathealth/notebooks/preparation/04_metric_derivation.html,008ffdb7044c5d45e5aa7c9343c2e0162616fa35bf4d37febd1703fed37978f8,008ffdb7044c5d45e5aa7c9343c2e0162616fa35bf4d37febd1703fed37978f8,True,,,,008ffdb7044c5d45e5aa7c9343c2e0162616fa35bf4d37febd1703fed37978f8,Exact historical accepted delivered HTML,False,False
7,preparation,notebooks/preparation/05_model_input_acquisition.qmd,184c40b45f349dc7129a86a2e8a0cf57665df7f9a82a4183ea1128b09954ad1d,184c40b45f349dc7129a86a2e8a0cf57665df7f9a82a4183ea1128b09954ad1d,True,True,_build/nathealth/notebooks/preparation/05_model_input_acquisition.html,0c93060ba00e7be8ea4137410d8749c12898d7faf9c988e10b9132ebe4d632d8,0c93060ba00e7be8ea4137410d8749c12898d7faf9c988e10b9132ebe4d632d8,True,,,,0c93060ba00e7be8ea4137410d8749c12898d7faf9c988e10b9132ebe4d632d8,Exact historical accepted delivered HTML,False,False
8,preparation,notebooks/preparation/06_model_ready_datasets.qmd,23b201c404f3b30918d49459ce54a3155a26b758ff10872bc0be4264bd386f87,23b201c404f3b30918d49459ce54a3155a26b758ff10872bc0be4264bd386f87,True,True,_build/nathealth/notebooks/preparation/06_model_ready_datasets.html,9888891089f5a59f02f01a7d72bb8e5fc86d8a84d8d767cf4b2107159a6ce87f,9888891089f5a59f02f01a7d72bb8e5fc86d8a84d8d767cf4b2107159a6ce87f,True,,,,9888891089f5a59f02f01a7d72bb8e5fc86d8a84d8d767cf4b2107159a6ce87f,Exact historical accepted delivered HTML,False,False
9,preparation,notebooks/preparation/07_example_days.qmd,e5b89c62b03af2e7989f76cb9578608b92420978393a7c857fd5edcc335dbcb1,e5b89c62b03af2e7989f76cb9578608b92420978393a7c857fd5edcc335dbcb1,True,True,_build/nathealth/notebooks/preparation/07_example_days.html,ffa14bf01a9d583180b5ec92a541ce252b167f256b254688023ce1c088a4967a,ffa14bf01a9d583180b5ec92a541ce252b167f256b254688023ce1c088a4967a,True,,,,ffa14bf01a9d583180b5ec92a541ce252b167f256b254688023ce1c088a4967a,Exact historical accepted delivered HTML,False,False
10,shared,notebooks/placement_decision.qmd,b090bb87107f310662692db682118f339d7c404c09a45d9735af406d63a78498,b090bb87107f310662692db682118f339d7c404c09a45d9735af406d63a78498,True,True,_build/nathealth/notebooks/placement_decision.html,5a2cf8da79f913ac8cb90153aa648fa367eb9e7d9073d4351951c03cd76b5e3d,5a2cf8da79f913ac8cb90153aa648fa367eb9e7d9073d4351951c03cd76b5e3d,True,,,,5a2cf8da79f913ac8cb90153aa648fa367eb9e7d9073d4351951c03cd76b5e3d,Exact historical accepted delivered HTML,False,False
